Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Stunfisk,91.4,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Dusknoir,91.2,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Feraligatr (Shadow),91.1,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Samurott (Shadow),90.9,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Annihilape (Shadow),90.7,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Ice Punch,6,7,3,50000
Metang (Shadow),90.5,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Gyro Ball,10,15,5,75000
Diggersby (Shadow),90.4,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Scorching Sands,Fire Punch,7,5,1,10000
Carbink,90.3,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Dedenne,90.3,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Parabolic Charge,Play Rough,5,7,3,50000
Marowak (Shadow),90.3,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Morpeko (Full Belly),90.1,877,electric,dark,141.7,97.8,114,1580701,29,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Weezing (Galarian) (Shadow),90.1,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Golurk (Shadow),89.9,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Quagsire (Shadow),89.9,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Machoke (Shadow),89.8,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,4,5,3,50000
Steelix (Shadow),89.8,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Togedemaru,89.8,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Cradily,89.7,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Forretress (Shadow),89.7,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Sand Tomb,Rock Tomb,14,17,5,75000
Lapras (Shadow),89.6,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Marowak,89.6,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Primeape,89.6,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Furret,89.5,162,normal,none,116.1,105.4,158,1933854,34.5,1500,Sucker Punch,Swift,Trailblaze,5,7,1,10000
Pangoro,89.4,675,fighting,dark,134.5,92,134,1658196,19,1496,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Bastiodon,89.3,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Dusclops (Shadow),89.3,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Emolga,89.3,587,electric,flying,127.9,111.4,123,1752744,39,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Runerigus,89.3,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Rock Tomb,Shadow Ball,7,7,3,50000
Azumarill,88.9,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Malamar (Shadow),88.9,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Foul Play,Superpower,10,10,3,50000
Primeape (Shadow),88.9,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Grumpig,88.8,326,psychic,none,114.5,128.3,133,1953798,24,1498,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Quagsire,88.8,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Sableye,88.8,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Bellibolt,88.7,939,electric,none,115.1,107.7,156,1934288,21,1492,Sucker Punch,Zap Cannon,Parabolic Charge,12,7,1,50000
Dewott (Shadow),88.7,502,water,none,124.2,98.6,147,1800321,33.5,1498,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Dragalge,88.6,691,poison,dragon,117.9,139.9,115,1895881,23.5,1496,Acid,Aqua Tail,Outrage,5,8,3,50000
Malamar,88.6,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Superpower,Foul Play,10,10,3,50000
Araquanid,88.5,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Water Pulse,Bubble Beam,19,14,3,50000
Claydol,88.4,344,ground,psychic,102.7,173.3,121,2153472,28.5,1488,Mud Slap,Rock Tomb,Ice Beam,5,6,3,50000
Metang,88.4,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Return,10,18,5,75000
Moltres (Galarian),88.4,146,dark,flying,115.1,137.5,122,1930734,17.5,1493,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Scizor (Shadow),88.4,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Tinkaton,88.4,959,fairy,steel,107.3,136.3,143,2090037,25.5,1497,Fairy Wind,Play Rough,Bulldoze,7,5,3,75000
Toxapex,88.2,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Aurorus,87.8,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Marowak (Alolan) (Shadow),87.8,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Togetic,87.8,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Psyshock,Dazzling Gleam,5,7,3,50000
Weezing (Galarian),87.6,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Whiscash (Shadow),87.6,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Drapion (Shadow),87.5,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Grumpig (Shadow),87.5,326,psychic,none,114.5,128.3,133,1953798,24,1498,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Regidrago,87.5,895,dragon,none,121.9,62.7,241,1842328,20,1499,Dragon Breath,Dragon Energy,Breaking Swipe,15,12,20,100000
Drifblim,87.4,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Melmetal,87.4,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Double Iron Bash,Superpower,4,5,20,100000
Sandslash (Alolan) (Shadow),87.4,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Golurk,87.3,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Jumpluff,87.3,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Marowak (Alolan),87.3,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Bone Club,Shadow Bone,4,5,3,50000
Scizor,87.1,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Machamp (Shadow),87,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Sealeo (Shadow),87,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Surf,Body Slam,6,5,3,50000
Blastoise,86.9,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Clefable,86.8,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Swift,7,4,1,10000
Drifblim (Shadow),86.8,426,ghost,flying,119.8,75,208,1867826,23,1498,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Lickitung,86.8,108,normal,none,98.3,126.9,183,2282878,50,1498,Lick,Body Slam,Power Whip,12,17,3,50000
Annihilape,86.7,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Close Combat,6,8,3,50000
Bronzong,86.7,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Metal Sound,Psyshock,Payback,5,8,3,50000
Sandslash (Alolan),86.7,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Bastiodon (Shadow),86.6,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Victreebel,86.6,71,grass,poison,135.8,94.8,128,1648364,23,1500,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Golisopod,86.5,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,Aqua Jet,X-Scissor,5,5,1,10000
Swampert (Shadow),86.5,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Victreebel (Shadow),86.5,71,grass,poison,135.8,94.8,128,1648364,23,1500,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Lurantis,86.4,754,grass,none,126.9,114.6,121,1760366,23.5,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Swampert,86.4,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Whiscash,86.4,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Greninja,86.3,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Machamp,86.3,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Vespiquen,86.3,416,bug,flying,109.1,143.3,131,2049009,28.5,1500,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Guzzlord,86.2,799,dark,dragon,113.3,65.5,266,1972626,19.5,1494,Dragon Tail,Brutal Swing,Sludge Bomb,4,6,20,100000
Registeel,86.2,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Tinkatuff,86.2,958,fairy,steel,104.2,134.4,149,2087357,50,1477,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Dewott,86.1,502,water,none,123.8,99.4,147,1809318,35.5,1499,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Electivire (Shadow),86.1,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Armarouge,85.9,936,fire,psychic,133.6,110.6,114,1684722,17.5,1500,Incinerate,Psyshock,Flame Charge,2,3,5,50000
Linoone,85.9,264,normal,none,114.6,112.2,152,1953755,39,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Drapion,85.8,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Tentacruel,85.8,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Acid,Scald,Sludge Wave,7,9,3,50000
Blastoise (Shadow),85.7,9,water,none,111.5,140.7,127,1992357,22.5,1492,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Gliscor,85.7,472,ground,flying,115.7,143.9,116,1930695,21,1496,Fury Cutter,Earthquake,Aerial Ace,17,10,5,75000
Ninetales (Shadow),85.7,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,5,8,3,50000
Donphan (Shadow),85.6,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Hakamo-o,85.6,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,5,5,75000
Raichu,85.6,26,electric,none,133.6,110.6,113,1669771,25.5,1495,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Wigglytuff,85.6,40,normal,fairy,115.8,75.5,220,1924765,29,1495,Charm,Icy Wind,Swift,8,6,1,10000
Dunsparce,85.5,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Medicham,85.5,308,fighting,psychic,106.9,139.5,141,2102958,49,1500,Psycho Cut,Ice Punch,Dynamic Punch,5,5,3,50000
Goodra,85.4,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Aqua Tail,Thunder Punch,12,14,5,75000
Dachsbun,85.3,927,fairy,none,113.1,156.9,111,1970234,27,1493,Charm,Psychic Fangs,Body Slam,6,6,3,50000
Stunfisk (Galarian),85.3,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,6,9,5,75000
Swalot,85.3,317,poison,none,104.1,123.4,168,2158208,28.5,1500,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Talonflame,85.3,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Fly,Brave Bird,3,3,1,10000
Froslass,85.2,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Hex,Avalanche,Shadow Ball,4,5,3,50000
Hippowdon (Shadow),85.2,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Pachirisu,85.2,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Toxicroak (Shadow),85.2,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Poison Sting,Dynamic Punch,Shadow Ball,5,7,3,50000
Wormadam (Trash),85.2,413,bug,steel,105.2,150.9,134,2126928,42.5,1500,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Zapdos (Shadow),85.1,145,electric,flying,137.3,102.6,116,1633088,15.5,1498,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Aurorus (Shadow),85,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Lanturn,85,171,water,electric,104.8,104.8,194,2131348,27,1496,Water Gun,Surf,Thunderbolt,15,19,3,50000
Lickilicky,85,463,normal,none,106.3,121.1,164,2111832,23,1498,Rollout,Body Slam,Shadow Ball,3,5,3,50000
Hippopotas,84.9,449,ground,none,115.3,111.1,152,1946522,49,1498,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Lairon,84.9,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Nidoqueen,84.9,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Sting,Earth Power,Poison Fang,7,5,3,50000
Spiritomb,84.9,442,ghost,dark,121.2,146.4,104,1845420,27.5,1498,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Gliscor (Shadow),84.8,472,ground,flying,115.7,143.9,116,1930695,21,1496,Fury Cutter,Earthquake,Aerial Ace,17,10,5,75000
Ninetales,84.8,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,5,8,3,50000
Ninetales (Alolan) (Shadow),84.8,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Regirock,84.8,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Cradily (Shadow),84.6,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Qwilfish,84.6,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Thievul,84.5,828,dark,none,121.7,123.1,123,1842937,26.5,1498,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Skeledirge,84.4,911,fire,ghost,121.2,109.2,139,1839651,18.5,1496,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Electrode (Hisuian),84.3,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Ninetales (Alolan),84.3,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Barbaracle,84.2,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Hippowdon,84.2,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Lairon (Shadow),84.2,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Gallade (Shadow),84.1,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Sealeo,84.1,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Surf,Body Slam,6,5,3,50000
Serperior,84.1,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Zapdos,84,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Amoonguss,83.9,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,4,3,50000
Klefki,83.8,707,steel,fairy,119,134.2,118,1884790,29.5,1499,Astonish,Foul Play,Play Rough,4,6,3,50000
Toxicroak,83.8,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Poison Sting,Dynamic Punch,Shadow Ball,5,7,3,50000
Bellossom (Shadow),83.7,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Dewgong,83.7,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Dragonair (Shadow),83.7,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Wrap,Aqua Tail,15,12,5,75000
Farfetch'd (Galarian),83.7,83,fighting,none,137.9,97.8,120,1618657,36.5,1494,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Donphan,83.6,232,ground,none,125.8,112,126,1776372,18.5,1500,Mud Slap,Trailblaze,Body Slam,5,4,3,50000
Dragonite (Shadow),83.6,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Ursaring (Shadow),83.6,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Swift,Close Combat,5,6,3,50000
Aron,83.5,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Dragonair,83.5,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Aqua Tail,Wrap,12,15,5,75000
Nidoqueen (Shadow),83.5,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Sting,Earth Power,Poison Fang,7,5,3,50000
Toxtricity,83.5,849,electric,poison,140.8,94.3,119,1579507,21,1497,Acid,Wild Charge,Power-Up Punch,6,5,5,75000
Froslass (Shadow),83.4,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Hex,Avalanche,Shadow Ball,4,5,3,50000
Magnezone,83.4,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Walrein,83.4,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Farfetch'd,83.3,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,10,3,50000
Florges,83.3,671,fairy,none,120.1,142.1,109,1859855,17,1494,Fairy Wind,Moonblast,Trailblaze,7,5,3,50000
Magcargo,83.3,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Aron (Shadow),83.2,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Bellossom,83.2,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Walrein (Shadow),83.2,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Mew,83.1,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Sirfetch'd,83.1,865,fighting,none,145.9,107.4,98,1536689,18.5,1499,Fury Cutter,Leaf Blade,Close Combat,9,12,3,50000
Ledian,83,166,bug,flying,101.9,161.2,134,2201440,49,1500,Bug Bite,Dynamic Punch,Aerial Ace,15,14,1,10000
Typhlosion (Shadow),83,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Electivire,82.9,466,electric,none,144,98,110,1552610,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Gengar (Shadow),82.9,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Kommo-o,82.9,784,dragon,fighting,123.7,138.4,105,1797551,16.5,1497,Dragon Tail,Clanging Scales,Dragon Claw,5,4,5,75000
Skarmory,82.8,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Dragonite,82.7,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Castform (Sunny),82.5,351,fire,none,113.4,119.6,146,1979669,38.5,1499,Ember,Weather Ball (Fire),Solar Beam,5,12,5,75000
Genesect,82.5,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),10,14,20,100000
Zweilous,82.5,634,dark,dragon,121,109.2,140,1849588,31,1496,Dragon Breath,Dark Pulse,Body Slam,17,12,5,75000
Arctibax,82.4,997,dragon,ice,123.1,97.7,151,1815086,26.5,1499,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Amoonguss (Shadow),82.3,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Grass Knot,Foul Play,5,4,3,50000
Charjabug,82.3,737,bug,electric,116.1,132.4,126,1936447,38,1500,Volt Switch,X-Scissor,Discharge,3,3,1,10000
Mightyena (Shadow),82.3,262,dark,none,125.9,104.3,134,1759749,29,1491,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Qwilfish (Hisuian),82.3,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Sting,Aqua Tail,Shadow Ball,4,7,3,50000
Scyther (Shadow),82.3,123,bug,flying,134.9,110.7,111,1657053,20.5,1496,Fury Cutter,Aerial Ace,Night Slash,10,9,5,75000
Urshifu (Single Strike),82.3,892,fighting,dark,136.6,97.8,121,1616195,15,1489,Sucker Punch,Brick Break,Dynamic Punch,6,7,20,100000
Abomasnow (Shadow),82.2,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Chesnaught,82.2,652,grass,fighting,119.9,124.6,125,1868328,19,1498,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Gogoat,82.2,673,grass,none,119.2,95,165,1867240,19.5,1492,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Ursaring,82.2,217,normal,none,140.3,89.1,128,1600223,19,1499,Shadow Claw,Swift,Close Combat,5,6,3,50000
