left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
6.0,14.0,119.0,47.0,4.0,9,6,8,903,146.0,95.3,110,78.5,3.0,11.0,93.0,60.0,97.0,11,11,7,444,128.8,101.0,133,64.1,0
10.0,3.0,21.0,101.0,227.0,3,8,10,841,138.8,100.8,115,66.1,15.0,0.0,65.0,205.0,171.0,15,15,9,578,149.2,82.7,121,46.4,0
17.0,5.0,4.0,104.0,187.0,9,2,5,707,119.0,134.2,118,83.7,13.0,15.0,15.0,201.0,276.0,15,15,10,203,129.1,102.7,129,75.1,1
18.0,0.0,36.0,125.0,154.0,1,18,1,503,129.0,102.2,132,92.3,13.0,0.0,130.0,26.0,276.0,13,13,10,916,118.1,102.8,156,73.2,1
10.0,11.0,108.0,105.0,253.0,10,10,16,389,120.5,117.6,131,66.8,10.0,14.0,136.0,192.0,245.0,10,10,14,2,118.6,121.7,130,74.9,0
1.0,8.0,8.0,41.0,238.0,1,1,1,12,126.7,111.9,124,59.2,7.0,0.0,81.0,92.0,273.0,6,7,4,467,141.4,103.4,108,76.3,1
4.0,0.0,134.0,270.0,34.0,4,4,6,239,126.0,97.5,120,69.1,18.0,12.0,75.0,137.0,79.0,12,12,11,87,102.9,133.8,158,83.8,0
4.0,8.0,134.0,2.0,62.0,4,8,4,587,127.9,111.4,123,89.3,9.0,8.0,40.0,137.0,230.0,9,12,9,426,119.8,75.0,208,87.4,0
17.0,9.0,40.0,230.0,191.0,9,9,16,1000,135.7,106.2,114,75.0,1.0,8.0,8.0,41.0,238.0,1,1,1,12,126.7,111.9,124,59.2,0
16.0,0.0,112.0,216.0,215.0,16,16,16,299,81.5,193.3,98,56.3,18.0,12.0,75.0,137.0,79.0,12,12,11,87,102.9,133.8,158,83.8,1
2.0,17.0,123.0,55.0,296.0,2,2,1,625,139.2,111.5,103,68.8,10.0,14.0,136.0,192.0,245.0,10,10,14,1,111.8,105.9,120,58.7,1
3.0,11.0,23.0,223.0,180.0,3,11,3,445,132.5,102.5,124,67.0,10.0,0.0,11.0,4.0,186.0,10,8,10,556,136.8,93.6,128,56.5,1
10.0,13.0,89.0,82.0,276.0,10,11,10,930,129.9,115.5,115,67.1,10.0,14.0,1.0,143.0,245.0,14,10,14,71,135.8,94.8,128,86.7,1
12.0,5.0,102.0,289.0,58.0,12,12,5,38,115.1,133.6,126,84.5,18.0,12.0,105.0,249.0,131.0,15,18,12,131,104.7,114.0,179,93.0,0
9.0,3.0,119.0,176.0,230.0,9,9,9,487,119.5,103.5,152,81.7,6.0,0.0,7.0,48.0,194.0,18,18,6,739,135.7,99.1,122,59.6,1
2.0,8.0,123.0,31.0,55.0,2,8,2,430,150.6,68.3,145,65.0,10.0,3.0,23.0,227.0,67.0,3,10,3,103,134.4,94.2,131,63.6,0
10.0,6.0,136.0,105.0,258.0,10,10,6,652,119.9,124.6,125,82.4,5.0,0.0,14.0,47.0,52.0,5,6,2,210,135.3,87.7,139,74.0,1
18.0,8.0,143.0,292.0,123.0,8,18,8,279,123.3,128.7,114,79.3,13.0,0.0,106.0,262.0,60.0,13,13,11,133,100.0,108.4,135,59.4,1
4.0,8.0,3.0,7.0,4.0,8,8,8,741,130.9,101.4,128,66.2,18.0,15.0,105.0,260.0,191.0,15,18,16,121,132.2,121.8,104,79.7,1
6.0,0.0,130.0,26.0,52.0,13,13,2,674,123.3,100.2,147,57.9,6.0,0.0,81.0,209.0,47.0,6,9,6,57,140.2,99.2,115,89.6,0
10.0,2.0,83.0,172.0,105.0,10,2,10,908,141.6,95.0,118,72.1,7.0,0.0,77.0,52.0,97.0,7,2,7,910,119.8,106.3,146,76.7,1
14.0,2.0,97.0,52.0,276.0,14,2,10,435,121.7,95.2,157,80.2,7.0,0.0,77.0,52.0,97.0,7,2,7,910,119.8,106.3,146,76.7,1
14.0,0.0,79.0,26.0,227.0,1,13,10,569,121.7,114.6,132,57.1,4.0,8.0,134.0,2.0,62.0,4,8,4,587,127.9,111.4,123,89.3,0
15.0,0.0,104.0,262.0,187.0,15,13,5,77,134.8,109.4,113,58.7,5.0,0.0,28.0,187.0,86.0,5,5,10,685,117.4,118.1,138,73.6,1
17.0,15.0,15.0,64.0,58.0,15,17,5,385,120.5,119.4,129,74.7,1.0,8.0,36.0,4.0,172.0,1,8,2,123,134.9,110.7,111,79.5,0
14.0,11.0,36.0,223.0,82.0,1,11,11,34,130.1,104.1,127,71.7,13.0,8.0,126.0,101.0,79.0,17,8,11,22,132.6,102.7,124,59.5,0
10.0,2.0,83.0,172.0,105.0,10,2,10,908,141.6,95.0,118,72.1,4.0,0.0,137.0,62.0,128.0,4,4,13,101,123.1,127.2,116,70.6,1
16.0,0.0,112.0,253.0,216.0,16,16,16,874,125.6,108.0,131,63.1,10.0,0.0,136.0,192.0,52.0,10,10,2,455,130.2,101.2,130,67.4,1
17.0,15.0,92.0,205.0,184.0,17,15,2,437,111.3,151.8,119,86.7,1.0,8.0,8.0,4.0,9.0,1,8,16,469,137.3,98.3,121,67.3,0
13.0,10.0,130.0,293.0,276.0,13,4,10,585,109.2,96.6,142,55.7,18.0,0.0,139.0,13.0,11.0,18,18,18,550,134.0,96.5,129,72.6,0
7.0,0.0,31.0,95.0,97.0,7,7,7,814,130.0,102.1,130,67.0,10.0,0.0,89.0,9.0,86.0,10,16,10,153,105.6,141.6,141,72.3,0
4.0,0.0,137.0,268.0,128.0,4,4,13,894,152.3,82.4,117,70.1,1.0,8.0,36.0,296.0,191.0,1,1,16,416,109.1,143.3,131,86.5,1
6.0,0.0,130.0,26.0,52.0,13,13,2,674,123.3,100.2,147,57.9,10.0,6.0,136.0,105.0,258.0,10,10,6,652,119.9,124.6,125,82.4,1
13.0,0.0,93.0,262.0,52.0,11,13,2,925,117.3,123.7,132,71.7,11.0,17.0,95.0,79.0,216.0,11,11,16,530,142.7,78.8,139,75.9,1
1.0,18.0,36.0,296.0,11.0,1,1,18,768,125.2,133.6,107,91.9,1.0,0.0,141.0,41.0,1.0,18,1,14,617,143.2,84.3,129,53.4,1
5.0,17.0,28.0,187.0,99.0,5,5,17,958,104.2,134.4,149,86.2,1.0,8.0,79.0,7.0,240.0,1,8,1,267,146.4,81.9,128,59.7,1
13.0,0.0,116.0,60.0,273.0,11,11,4,507,119.7,110.9,141,69.0,17.0,5.0,28.0,139.0,187.0,5,17,5,303,125.9,121.2,117,77.4,1
6.0,0.0,7.0,48.0,194.0,18,18,6,739,135.7,99.1,122,59.6,3.0,11.0,93.0,60.0,97.0,11,11,7,444,128.8,101.0,133,64.1,0
15.0,0.0,104.0,92.0,230.0,15,7,9,65,157.0,103.1,88,58.5,18.0,0.0,139.0,11.0,131.0,18,18,12,8,107.9,137.8,139,80.6,0
14.0,0.0,97.0,270.0,55.0,14,4,2,89,117.3,111.3,146,76.2,18.0,0.0,139.0,133.0,52.0,18,12,2,159,118.8,118.8,134,70.8,0
9.0,10.0,4.0,111.0,104.0,9,10,2,710,113.4,115.1,133,78.7,7.0,0.0,77.0,95.0,293.0,7,7,4,78,134.7,110.9,111,77.9,0
9.0,0.0,40.0,230.0,55.0,9,9,2,429,133.8,120.8,104,68.2,6.0,0.0,81.0,49.0,213.0,6,6,13,56,137.0,81.5,113,67.0,1
6.0,7.0,20.0,95.0,276.0,6,7,10,128,127.8,123.1,111,72.9,18.0,2.0,142.0,52.0,188.0,18,2,14,319,166.6,64.8,124,64.7,1
9.0,10.0,119.0,227.0,230.0,9,10,9,709,127.8,104.6,131,81.0,14.0,0.0,97.0,245.0,89.0,14,14,1,803,119.7,113.6,137,68.1,0
15.0,8.0,104.0,101.0,31.0,15,8,8,144,134.1,108.3,115,75.9,17.0,14.0,92.0,114.0,113.0,17,17,14,965,116.0,102.5,120,53.4,0
10.0,0.0,136.0,105.0,4.0,10,10,8,497,110.2,143.6,128,84.2,6.0,0.0,7.0,48.0,194.0,18,18,6,739,135.7,99.1,122,59.6,1
16.0,12.0,102.0,289.0,273.0,12,12,4,698,114.3,104.2,164,80.0,3.0,0.0,23.0,71.0,13.0,3,3,18,611,145.5,89.3,119,75.8,0
18.0,15.0,139.0,260.0,131.0,18,18,12,80,113.4,120.9,143,67.2,1.0,14.0,15.0,245.0,240.0,15,14,1,269,95.0,148.7,142,64.5,1
9.0,10.0,40.0,230.0,227.0,9,9,10,711,115.8,128.8,130,82.0,13.0,0.0,40.0,291.0,86.0,9,16,10,351,113.4,119.6,146,80.6,0
11.0,2.0,95.0,52.0,84.0,11,2,11,552,133.6,87.4,142,71.9,18.0,14.0,99.0,295.0,285.0,14,13,18,72,94.1,137.8,113,60.2,0
9.0,10.0,119.0,227.0,230.0,9,10,9,709,127.8,104.6,131,81.0,18.0,11.0,95.0,26.0,82.0,11,13,11,423,114.4,102.5,167,91.6,0
15.0,0.0,15.0,55.0,200.0,15,2,15,605,134.0,94.7,132,54.6,18.0,2.0,123.0,172.0,224.0,2,2,18,342,144.5,96.9,110,71.1,1
4.0,17.0,134.0,89.0,293.0,4,1,4,777,132.1,105.6,121,89.8,12.0,5.0,102.0,289.0,58.0,12,12,5,38,115.1,133.6,126,84.5,0
4.0,2.0,134.0,17.0,201.0,4,2,15,877,141.7,97.8,114,90.1,16.0,8.0,112.0,216.0,82.0,16,16,11,142,135.0,103.9,118,65.3,1
18.0,15.0,139.0,260.0,200.0,18,18,15,199,113.4,120.9,143,67.2,14.0,15.0,1.0,260.0,230.0,14,18,9,199,117.9,115.5,139,76.2,1
12.0,9.0,40.0,19.0,230.0,9,12,9,478,122.6,115.6,128,85.3,4.0,6.0,134.0,34.0,293.0,4,6,4,923,144.5,94.3,113,79.0,1
15.0,0.0,129.0,200.0,273.0,2,15,4,678,117.6,124.5,130,62.4,12.0,18.0,102.0,260.0,26.0,12,18,13,364,108.6,113.2,167,84.2,0
11.0,0.0,116.0,218.0,60.0,11,16,11,449,115.3,111.1,152,84.9,15.0,8.0,104.0,101.0,31.0,15,8,8,144,134.1,108.3,115,75.9,0
14.0,15.0,97.0,224.0,38.0,14,18,2,80,119.1,108.4,145,74.7,16.0,0.0,129.0,253.0,79.0,2,16,11,745,144.6,92.0,117,63.5,1
7.0,6.0,25.0,21.0,216.0,7,7,16,500,137.9,79.9,147,68.4,10.0,0.0,136.0,26.0,227.0,10,13,10,650,105.0,101.7,136,59.0,1
4.0,0.0,13.0,276.0,62.0,4,10,4,180,121.9,99.8,151,59.2,6.0,0.0,32.0,282.0,117.0,6,6,17,297,125.6,75.5,186,79.9,0
5.0,0.0,136.0,58.0,200.0,10,5,15,670,114.3,133.7,128,71.6,6.0,7.0,20.0,95.0,276.0,6,7,10,128,127.8,123.1,111,72.9,1
15.0,8.0,3.0,7.0,4.0,8,8,8,741,130.9,101.4,128,61.2,11.0,16.0,95.0,43.0,251.0,11,11,13,111,113.4,110.2,158,72.8,1
16.0,18.0,93.0,11.0,218.0,11,18,16,140,133.6,128.6,97,73.3,2.0,15.0,105.0,258.0,104.0,15,6,2,687,118.5,117.1,136,88.7,0
9.0,10.0,4.0,111.0,104.0,9,10,2,710,114.3,116.0,126,76.4,13.0,0.0,93.0,26.0,276.0,11,13,10,820,107.5,110.7,175,80.6,0
8.0,3.0,3.0,123.0,67.0,8,8,3,715,126.4,110.7,127,51.6,4.0,0.0,137.0,268.0,128.0,4,4,13,894,152.3,82.4,117,70.1,0
13.0,8.0,11.0,78.0,215.0,10,8,16,733,137.3,96.8,122,60.5,7.0,8.0,31.0,242.0,9.0,7,8,16,146,136.3,102.6,117,68.6,1
14.0,11.0,99.0,82.0,188.0,14,11,14,31,117.8,116.5,139,84.9,18.0,0.0,139.0,292.0,267.0,18,18,4,351,113.4,119.6,146,81.7,0
10.0,6.0,32.0,81.0,111.0,6,6,10,286,150.6,97.3,101,66.4,18.0,8.0,7.0,4.0,285.0,18,8,18,458,100.8,163.0,120,78.1,1
10.0,14.0,136.0,105.0,245.0,10,10,14,3,122.5,121.9,122,82.2,17.0,0.0,119.0,47.0,276.0,9,6,10,863,128.9,114.6,117,80.3,0
10.0,2.0,129.0,276.0,81.0,2,10,6,332,148.9,83.5,121,72.9,13.0,0.0,84.0,26.0,258.0,9,13,6,143,108.4,101.7,187,76.3,0
7.0,3.0,77.0,74.0,182.0,7,3,7,776,114.2,153.0,112,78.9,10.0,0.0,106.0,143.0,4.0,13,10,8,253,137.4,101.7,117,73.4,0
10.0,12.0,102.0,137.0,86.0,12,12,10,460,117.9,111.4,143,80.7,10.0,8.0,83.0,31.0,227.0,10,8,10,723,112.3,116.8,152,74.1,1
10.0,6.0,89.0,4.0,15.0,10,8,6,724,129.6,106.9,124,65.2,14.0,2.0,5.0,52.0,276.0,2,2,10,434,114.3,88.2,147,62.6,0
15.0,0.0,104.0,262.0,187.0,15,13,5,77,134.8,109.4,113,58.7,7.0,0.0,77.0,52.0,97.0,7,2,7,910,119.8,106.3,146,76.7,1
17.0,9.0,40.0,230.0,191.0,9,9,16,1000,135.7,106.2,114,75.0,10.0,8.0,3.0,143.0,4.0,8,10,8,357,101.4,127.3,170,81.5,1
7.0,16.0,77.0,218.0,182.0,7,16,7,219,110.2,157.9,116,83.4,13.0,8.0,3.0,242.0,128.0,8,8,13,521,139.2,96.2,120,48.6,1
10.0,14.0,97.0,245.0,186.0,14,14,10,315,139.6,107.3,107,54.8,17.0,15.0,15.0,64.0,58.0,15,17,5,385,120.5,119.4,129,74.7,1
7.0,8.0,3.0,7.0,4.0,8,8,8,741,130.9,101.4,128,65.6,18.0,9.0,40.0,260.0,230.0,9,18,9,593,106.7,124.3,157,92.8,1
18.0,10.0,7.0,224.0,144.0,18,18,10,272,117.1,123.7,132,70.8,7.0,16.0,77.0,218.0,182.0,7,16,7,219,110.2,157.9,116,83.4,0
18.0,0.0,95.0,166.0,26.0,11,11,13,422,99.2,100.8,166,68.4,7.0,16.0,25.0,216.0,97.0,7,16,7,58,131.9,89.9,142,68.2,1
7.0,6.0,25.0,95.0,216.0,7,7,16,256,131.0,99.6,131,71.0,14.0,2.0,97.0,52.0,245.0,14,2,14,88,123.6,86.0,171,76.2,1
7.0,15.0,77.0,205.0,95.0,7,15,7,936,133.6,110.6,114,85.9,10.0,0.0,136.0,105.0,4.0,10,10,8,497,110.2,143.6,128,84.2,0
6.0,0.0,81.0,49.0,253.0,6,6,16,68,136.4,97.2,124,86.3,18.0,0.0,7.0,260.0,4.0,18,18,8,657,135.4,99.2,123,67.5,0
10.0,0.0,89.0,111.0,228.0,10,10,10,492,117.9,122.3,131,64.6,10.0,0.0,108.0,111.0,82.0,10,10,11,812,133.5,97.7,129,66.0,0
15.0,0.0,15.0,230.0,200.0,15,9,15,678,117.6,124.5,130,58.6,12.0,5.0,102.0,289.0,58.0,12,12,5,38,115.1,133.6,126,84.5,1
13.0,10.0,130.0,293.0,276.0,13,4,10,585,109.2,96.6,142,55.7,10.0,0.0,11.0,111.0,86.0,10,10,10,830,109.1,159.7,118,66.7,0
15.0,0.0,15.0,205.0,260.0,15,15,18,79,104.2,95.0,186,65.5,10.0,2.0,83.0,172.0,105.0,10,2,10,908,141.6,95.0,118,72.1,1
16.0,8.0,143.0,9.0,71.0,8,16,3,567,160.6,81.4,106,64.3,10.0,0.0,106.0,143.0,141.0,13,10,13,470,128.1,133.3,102,73.5,0
13.0,0.0,5.0,52.0,130.0,2,2,13,505,126.4,113.2,124,57.2,13.0,0.0,145.0,26.0,84.0,13,13,11,289,139.3,83.6,138,20.2,1
7.0,0.0,31.0,97.0,95.0,7,7,7,815,139.0,102.3,113,63.6,1.0,16.0,36.0,296.0,253.0,1,1,16,900,144.2,105.1,102,77.1,1
7.0,9.0,77.0,230.0,95.0,7,9,7,937,136.9,114.0,105,71.5,1.0,8.0,36.0,4.0,172.0,1,8,2,123,134.9,110.7,111,79.5,1
6.0,2.0,129.0,34.0,81.0,2,6,6,892,136.6,97.8,121,82.4,18.0,0.0,21.0,127.0,24.0,3,18,12,117,132.6,114.5,111,53.8,0
18.0,0.0,86.0,175.0,113.0,13,18,14,224,132.9,103.2,123,56.0,18.0,8.0,21.0,13.0,52.0,3,18,2,130,130.8,108.0,121,79.7,1
7.0,0.0,77.0,95.0,293.0,7,7,4,78,134.7,110.9,111,77.9,18.0,11.0,93.0,166.0,260.0,11,11,18,259,120.3,108.9,142,82.1,1
6.0,0.0,7.0,48.0,194.0,18,18,6,739,135.7,99.1,122,59.6,1.0,14.0,99.0,245.0,238.0,14,14,1,544,96.6,158.0,113,60.0,0
14.0,11.0,99.0,82.0,188.0,14,11,14,31,117.8,116.5,139,84.9,18.0,10.0,7.0,224.0,111.0,18,18,10,271,106.7,112.6,142,61.8,1
1.0,8.0,79.0,7.0,240.0,1,8,1,267,146.4,81.9,128,59.7,18.0,0.0,119.0,125.0,131.0,9,18,12,160,123.3,118.0,124,91.8,1
4.0,6.0,134.0,34.0,293.0,4,6,4,923,144.5,94.3,113,79.0,18.0,0.0,119.0,125.0,131.0,9,18,12,160,123.3,118.0,124,91.8,0
18.0,0.0,21.0,127.0,24.0,3,18,12,117,132.6,114.5,111,53.8,14.0,18.0,97.0,36.0,246.0,14,18,14,748,92.3,222.0,118,88.1,0
16.0,17.0,124.0,216.0,297.0,4,16,4,476,96.8,200.0,119,73.5,18.0,0.0,7.0,78.0,137.0,18,8,12,393,106.7,98.3,131,56.6,1
17.0,11.0,133.0,201.0,32.0,4,15,3,208,98.4,185.2,124,91.4,5.0,0.0,14.0,201.0,26.0,5,15,13,927,113.1,156.9,111,85.3,0
7.0,8.0,77.0,101.0,31.0,7,8,8,663,122.1,114.7,131,85.4,18.0,9.0,40.0,171.0,131.0,9,9,12,592,109.2,125.2,135,78.8,0
18.0,0.0,139.0,13.0,11.0,18,18,18,728,113.4,99.2,127,63.3,1.0,14.0,15.0,245.0,240.0,15,14,1,269,95.0,148.7,142,64.5,1
6.0,17.0,32.0,270.0,230.0,6,4,9,448,145.8,95.6,110,77.9,12.0,16.0,102.0,216.0,137.0,12,16,12,713,117.0,134.7,121,76.3,0
18.0,0.0,7.0,224.0,166.0,18,18,11,61,115.1,114.3,148,73.2,15.0,0.0,104.0,262.0,187.0,15,13,5,77,134.8,109.4,113,58.7,0
1.0,8.0,8.0,4.0,41.0,1,8,1,414,140.0,83.0,137,65.6,18.0,11.0,93.0,166.0,260.0,11,11,18,259,120.3,108.9,142,82.1,1
13.0,8.0,3.0,242.0,128.0,8,8,13,521,139.2,96.2,120,48.6,13.0,0.0,14.0,13.0,273.0,5,18,4,573,135.5,95.9,127,62.5,0
13.0,8.0,126.0,242.0,171.0,17,8,9,441,140.4,78.4,145,51.6,6.0,0.0,32.0,282.0,117.0,6,6,17,297,125.6,75.5,186,79.9,0
11.0,0.0,116.0,218.0,60.0,11,16,11,449,115.3,111.1,152,84.9,1.0,0.0,141.0,41.0,1.0,18,1,14,617,143.2,84.3,129,53.4,0
15.0,0.0,119.0,293.0,205.0,9,4,15,151,120.5,119.4,129,83.1,5.0,0.0,14.0,201.0,26.0,5,15,13,927,113.1,156.9,111,85.3,0
10.0,0.0,136.0,105.0,4.0,10,10,8,497,110.2,143.6,128,84.2,16.0,0.0,95.0,258.0,156.0,11,6,16,526,127.2,118.4,116,69.1,1
5.0,0.0,28.0,164.0,276.0,5,5,10,671,120.1,142.1,109,83.4,4.0,0.0,134.0,270.0,213.0,4,4,13,125,130.9,112.6,115,72.5,0
18.0,0.0,23.0,260.0,295.0,3,18,13,350,113.2,132.2,132,72.9,18.0,12.0,75.0,137.0,79.0,12,12,11,87,102.9,133.8,158,83.8,1
3.0,8.0,23.0,101.0,180.0,3,8,3,373,142.9,92.6,117,69.9,3.0,15.0,21.0,162.0,267.0,3,15,4,380,124.5,137.9,105,64.0,1
2.0,13.0,106.0,52.0,213.0,13,2,13,20,107.5,130.7,148,78.8,18.0,0.0,139.0,285.0,200.0,18,18,15,368,136.9,118.5,101,54.4,1
6.0,0.0,97.0,26.0,34.0,14,13,6,539,141.0,99.8,113,63.5,13.0,15.0,15.0,251.0,293.0,15,13,4,899,127.0,96.8,143,65.4,0
4.0,6.0,134.0,293.0,270.0,4,4,4,922,136.1,81.5,142,78.0,16.0,10.0,1.0,218.0,111.0,14,16,10,346,106.3,139.0,143,89.7,1
13.0,0.0,116.0,293.0,52.0,11,4,2,508,125.8,114.7,124,72.5,3.0,6.0,23.0,71.0,34.0,3,3,6,783,115.5,134.8,124,85.7,1
8.0,2.0,129.0,101.0,218.0,2,8,16,962,128.0,115.3,118,80.9,7.0,0.0,77.0,52.0,97.0,7,2,7,909,106.7,93.3,152,64.5,1
10.0,0.0,14.0,186.0,128.0,5,10,13,549,135.0,105.3,115,59.1,2.0,17.0,123.0,55.0,296.0,2,2,1,625,139.2,111.5,103,68.8,1
13.0,0.0,14.0,13.0,273.0,5,18,4,573,135.5,95.9,127,62.5,18.0,0.0,7.0,137.0,127.0,18,12,18,394,119.1,116.0,136,70.1,1
3.0,15.0,21.0,162.0,267.0,3,15,4,380,124.5,137.9,105,64.0,15.0,0.0,49.0,205.0,230.0,6,15,9,579,127.6,93.7,147,51.1,1
18.0,2.0,141.0,125.0,172.0,18,18,2,658,139.6,101.6,113,86.3,4.0,17.0,134.0,89.0,293.0,4,1,4,777,132.1,105.6,121,89.8,1
15.0,0.0,13.0,204.0,262.0,4,15,13,386,140.8,131.6,86,47.8,16.0,2.0,121.0,38.0,253.0,16,2,16,248,130.2,109.4,121,63.9,0
1.0,0.0,8.0,218.0,213.0,1,16,13,204,103.4,115.1,127,61.7,15.0,0.0,49.0,205.0,230.0,6,15,9,579,127.6,93.7,147,51.1,1
10.0,3.0,4.0,180.0,227.0,9,3,10,842,117.2,100.8,162,67.9,13.0,0.0,40.0,291.0,86.0,9,16,10,351,113.4,119.6,146,80.6,0
18.0,0.0,97.0,79.0,137.0,14,11,12,119,123.1,105.9,140,75.8,18.0,5.0,7.0,131.0,187.0,18,12,5,184,93.7,134.1,190,88.9,0
6.0,0.0,130.0,26.0,52.0,13,13,2,674,123.3,100.2,147,57.9,13.0,0.0,95.0,251.0,52.0,11,13,2,115,115.9,112.8,148,77.3,0
6.0,8.0,97.0,102.0,4.0,14,6,8,701,128.9,108.8,124,78.9,8.0,17.0,116.0,242.0,139.0,11,8,17,823,107.6,128.1,151,91.6,1
10.0,8.0,89.0,111.0,86.0,10,10,10,492,138.1,93.6,124,55.7,7.0,6.0,25.0,95.0,216.0,7,7,16,256,131.0,99.6,131,71.0,1
6.0,15.0,104.0,133.0,81.0,15,12,6,308,106.9,139.5,141,85.6,3.0,8.0,23.0,32.0,69.0,3,3,8,384,146.5,92.0,113,72.9,0
3.0,11.0,23.0,52.0,84.0,3,2,11,718,138.1,119.1,98,64.4,13.0,0.0,114.0,184.0,43.0,16,2,11,775,137.1,110.2,108,57.7,1
16.0,12.0,102.0,289.0,273.0,12,12,4,698,114.3,104.2,164,80.0,3.0,9.0,4.0,230.0,180.0,9,9,3,886,131.0,92.6,141,68.2,1
16.0,0.0,16.0,253.0,201.0,6,16,15,745,134.3,101.0,123,63.6,18.0,0.0,74.0,40.0,224.0,12,18,18,245,107.4,141.9,137,81.1,0
13.0,8.0,3.0,4.0,213.0,8,8,13,520,124.0,101.4,143,62.4,1.0,8.0,8.0,81.0,4.0,1,6,8,166,101.9,161.2,134,83.2,0
6.0,0.0,16.0,258.0,154.0,6,6,1,870,128.2,119.8,113,68.4,18.0,0.0,139.0,13.0,11.0,18,18,18,728,113.4,99.2,127,63.3,0
