winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
fire,none,Ember,Weather Ball (Fire),Overheat,ice,ice,fairy,38,115.1,133.6,126,84.8,water,fairy,Charm,Disarming Voice,Hydro Cannon,fairy,fairy,water,730,131.9,116.8,110,75.9
fire,none,Ember,Fire Punch,Return,fire,fire,normal,5,127.1,109.1,127,70.9,normal,none,Lock On,Tri Attack,Zap Cannon,normal,normal,electric,474,148.7,88.4,115,52.5
grass,none,Fury Cutter,Frenzy Plant,Breaking Swipe,bug,grass,dragon,254,136.9,108.5,110,77.3,electric,none,Spark,Crunch,Thunder,electric,dark,electric,836,136.3,97.5,123,58.4
ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,ghost,ghost,poison,94,156.6,94.3,97,80.7,fire,rock,Incinerate,Rock Tomb,Overheat,fire,rock,fire,219,110.2,157.9,116,83.4
poison,none,Poison Jab,Sludge,Mud Bomb,poison,poison,ground,88,121.5,88.0,171,78.8,water,none,Water Gun,Aqua Tail,Icy Wind,water,water,ice,86,84.0,114.3,149,63.9
grass,ice,Powder Snow,Icy Wind,Energy Ball,ice,ice,grass,460,117.9,111.4,143,80.7,rock,none,Counter,Stone Edge,Psychic Fangs,fighting,rock,psychic,745,134.3,101.0,123,63.6
dragon,ice,Dragon Breath,Avalanche,Dragon Claw,dragon,ice,dragon,997,123.1,97.7,151,82.5,water,none,Mud Slap,Liquidation,Surf,ground,water,water,961,151.8,107.2,90,61.0
ghost,none,Shadow Claw,Shadow Ball,Dazzling Gleam,ghost,ghost,fairy,354,146.8,89.3,117,63.9,normal,fairy,Charm,Icy Wind,Swift,fairy,ice,normal,40,115.8,75.5,220,85.7
normal,flying,Air Slash,Fly,Close Combat,flying,flying,fighting,628,134.3,94.1,132,63.8,ice,none,Ice Fang,Avalanche,Superpower,ice,ice,fighting,555,151.3,71.4,137,62.7
ice,none,Astonish,Icy Wind,Signal Beam,ghost,ice,bug,583,124.1,119.3,122,69.9,fire,rock,Fire Fang,Wild Charge,Rock Slide,fire,electric,rock,59,132.4,100.0,127,66.0
dragon,ghost,Astonish,Shadow Ball,Outrage,ghost,ghost,dragon,886,131.0,92.6,141,68.2,bug,flying,Bug Bite,Bug Buzz,Signal Beam,bug,bug,bug,12,126.7,111.9,124,59.2
normal,none,Mud Shot,Stomp,Megahorn,ground,normal,bug,626,118.9,115.9,136,68.8,normal,none,Astonish,Swift,Aerial Ace,ghost,normal,flying,190,126.1,105.2,134,73.6
normal,water,Rollout,Surf,Hyper Fang,rock,water,normal,400,124.2,97.7,149,77.1,fire,fighting,Fire Spin,Close Combat,Blast Burn,fire,fighting,fire,392,136.7,100.4,118,65.6
water,fairy,Water Gun,Surf,Nature's Madness,water,water,fairy,788,115.3,155.3,108,77.9,grass,steel,Bullet Seed,Power Whip,Thunder,grass,grass,electric,598,107.3,155.1,125,81.0
psychic,none,Hidden Power (Fighting),Psyshock,Shadow Ball,fighting,psychic,ghost,579,127.6,93.7,147,51.1,grass,none,Razor Leaf,Grass Knot,Energy Ball,grass,grass,grass,811,124.7,108.5,133,66.5
bug,rock,Smack Down,Rock Tomb,X-Scissor,rock,rock,bug,557,111.8,120.2,127,61.2,grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,poison,1,111.8,105.9,120,58.7
grass,poison,Acid,Sludge Bomb,Moonblast,poison,poison,fairy,44,122.6,114.9,130,70.7,dragon,none,Dragon Breath,Dragon Energy,Breaking Swipe,dragon,dragon,dragon,895,121.9,62.7,241,87.6
ghost,none,Hex,Ice Punch,Shadow Punch,ghost,ice,ghost,356,103.1,198.9,106,92.4,grass,none,Bullet Seed,Dazzling Gleam,Solar Beam,grass,fairy,grass,421,122.9,115.2,129,53.0
steel,psychic,Confusion,Doom Desire,Dazzling Gleam,psychic,steel,fairy,385,120.5,119.4,129,74.7,normal,flying,Quick Attack,Brave Bird,Fly,normal,flying,flying,397,131.9,91.6,135,76.5
steel,none,Thunder Shock,Double Iron Bash,Superpower,electric,steel,fighting,809,121.5,107.8,141,87.3,bug,fighting,Counter,Upper Hand,Megahorn,fighting,fighting,bug,214,134.7,107.9,114,67.6
water,none,Bubble,Scald,Mud Bomb,water,water,ground,61,115.1,114.3,148,73.2,fire,bug,Ember,Lunge,Crunch,fire,bug,dark,851,129.3,98.3,136,76.8
psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,480,102.0,176.8,122,73.4,steel,rock,Metal Sound,Rock Tomb,Thunder,steel,rock,electric,306,116.1,154.0,107,80.8
water,grass,Bubble,Scald,Grass Knot,water,water,grass,271,106.7,112.6,142,61.8,normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1
ghost,none,Psywave,Dark Pulse,Shadow Sneak,psychic,dark,ghost,200,124.1,119.0,122,73.8,normal,psychic,Confusion,Stomp,Wild Charge,psychic,normal,electric,899,127.0,96.8,143,65.4
normal,none,Feint Attack,Night Slash,Power Gem,dark,dark,rock,53,118.9,115.9,136,61.3,steel,none,Thunder Shock,Double Iron Bash,Superpower,electric,steel,fighting,809,121.5,107.8,141,87.3
fighting,flying,Counter,Fly,Brave Bird,fighting,flying,flying,145,135.2,106.2,115,69.6,electric,none,Quick Attack,Thunderbolt,Grass Knot,normal,electric,grass,311,129.2,107.3,125,61.6
fighting,none,Double Kick,Close Combat,Trailblaze,fighting,fighting,grass,128,127.8,123.1,111,76.1,rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,ice,ice,electric,698,114.3,104.2,164,80.0
fire,none,Fire Spin,Flamethrower,Flame Charge,fire,fire,fire,815,139.0,102.3,113,63.6,grass,psychic,Confusion,Seed Bomb,Ancient Power,psychic,grass,rock,102,102.5,117.6,142,56.8
grass,poison,Acid,Power Whip,Sludge Bomb,poison,grass,poison,70,137.8,84.3,139,69.0,ice,none,Powder Snow,Ice Punch,Liquidation,ice,ice,water,614,134.9,94.6,129,69.6
fighting,none,Karate Chop,Cross Chop,Return,fighting,fighting,normal,66,127.7,81.5,157,78.5,ice,none,Rollout,Avalanche,Shadow Ball,rock,ice,ghost,362,115.2,120.1,140,82.0
fighting,none,Counter,Close Combat,Brick Break,fighting,fighting,fighting,891,136.6,95.6,125,66.9,electric,none,Spark,Wild Charge,Flame Charge,electric,electric,fire,523,137.7,95.5,123,62.9
grass,fairy,Fairy Wind,Seed Bomb,Moonblast,fairy,grass,fairy,547,118.4,133.1,119,81.3,ground,ghost,Mud Slap,Shadow Punch,Dynamic Punch,ground,ghost,fighting,623,133.9,96.7,129,87.3
water,none,Water Gun,Weather Ball (Water),Thunder,water,water,electric,351,113.4,119.6,146,81.7,rock,ground,Mud Slap,Stone Edge,Dig,electric,rock,rock,75,122.9,127.3,117,67.1
dark,steel,Fury Cutter,Night Slash,X-Scissor,bug,dark,bug,624,132.0,107.8,118,80.5,normal,none,Lock On,Tri Attack,Zap Cannon,normal,normal,electric,474,148.7,88.4,115,52.5
grass,steel,Bullet Seed,Power Whip,Thunder,grass,grass,electric,598,107.3,155.1,125,81.0,ice,water,Powder Snow,Icicle Spear,Earthquake,ice,ice,ground,365,113.1,114.3,153,83.6
electric,none,Thunder Shock,Ice Punch,Wild Charge,electric,ice,electric,466,144.0,98.0,110,82.9,grass,none,Vine Whip,Body Slam,Seed Bomb,grass,normal,grass,650,105.0,101.7,136,59.0
ground,flying,Fury Cutter,Aerial Ace,Dig,bug,flying,ground,207,108.0,146.2,130,92.3,grass,none,Bullet Seed,Grass Knot,Energy Ball,grass,grass,grass,830,109.1,159.7,118,66.7
dragon,ice,Dragon Breath,Avalanche,Dragon Claw,dragon,ice,dragon,997,123.1,97.7,151,82.5,grass,poison,Acid,Sludge Bomb,Moonblast,poison,poison,fairy,44,122.6,114.9,130,70.7
rock,fairy,Rock Throw,Power Gem,Rock Slide,rock,rock,rock,719,119.2,175.2,89,67.4,poison,none,Poison Jab,Thunder Punch,Dark Pulse,poison,dark,poison,89,117.3,111.3,146,76.2
rock,none,Mud Slap,Rock Slide,Bulldoze,ground,rock,ground,525,123.3,110.7,131,64.2,normal,none,Rollout,Drill Run,Rock Slide,rock,ground,rock,206,104.8,111.0,183,85.5
normal,flying,Air Slash,Sky Attack,Hyper Beam,flying,flying,normal,521,139.2,96.2,120,48.6,dark,ice,Ice Shard,Avalanche,Foul Play,ice,ice,dark,215,135.5,110.7,110,66.6
dragon,flying,Dragon Breath,Dragon Claw,Superpower,dragon,dragon,fighting,149,135.8,108.4,111,82.7,fire,flying,Incinerate,Brave Bird,Earthquake,fire,flying,ground,250,123.6,128.2,114,73.5
grass,none,Vine Whip,Frenzy Plant,Earthquake,grass,grass,ground,154,111.5,138.4,130,82.1,psychic,none,Sucker Punch,Psychic,Thunderbolt,dark,psychic,electric,678,117.6,124.5,130,62.4
grass,flying,Fairy Wind,Aerial Ace,Energy Ball,fairy,flying,grass,189,97.0,153.5,155,87.5,psychic,none,Confusion,Shadow Ball,Psychic,psychic,ghost,psychic,678,117.6,124.5,130,58.6
fire,none,Ember,Weather Ball (Fire),Solar Beam,fire,fire,grass,351,113.4,119.6,146,82.5,normal,fighting,Shadow Claw,Superpower,Stomp,ghost,fighting,normal,760,130.4,85.6,154,78.6
ice,flying,Ice Shard,Triple Axel,Ancient Power,ice,ice,rock,144,113.2,143.6,122,70.7,normal,psychic,Confusion,Psychic Fangs,Trailblaze,psychic,psychic,grass,203,129.1,102.7,129,75.1
psychic,none,Confusion,Rock Slide,Future Sight,psychic,rock,psychic,576,116.6,137.3,120,61.7,normal,fairy,Charm,Icy Wind,Swift,fairy,ice,normal,40,115.8,75.5,220,85.7
electric,none,Volt Switch,Thunder Cage,Hyper Beam,electric,electric,normal,894,152.3,82.4,117,70.1,dark,flying,Snarl,Dark Pulse,Aerial Ace,dark,dark,flying,630,92.3,149.2,176,91.8
grass,none,Vine Whip,Grass Knot,Wrap,grass,grass,normal,496,107.2,137.4,142,79.4,normal,none,Zen Headbutt,Body Slam,Disarming Voice,psychic,normal,fairy,531,92.6,138.1,189,54.2
fire,ghost,Incinerate,Torch Song,Shadow Ball,fire,fire,ghost,911,121.2,109.2,139,84.5,fighting,none,Counter,Brutal Swing,Brick Break,fighting,dark,fighting,766,129.9,100.5,132,76.3
dragon,none,Dragon Tail,Dragon Claw,Aqua Tail,dragon,dragon,water,611,145.5,89.3,119,75.8,psychic,flying,Air Slash,Brave Bird,Fly,flying,flying,flying,628,128.6,89.1,151,58.5
fire,fighting,Fire Spin,Close Combat,Blast Burn,fire,fighting,fire,392,136.7,100.4,118,65.6,fire,bug,Ember,Lunge,Crunch,fire,bug,dark,851,129.3,98.3,136,76.8
bug,steel,Bug Bite,Bug Buzz,Iron Head,bug,bug,steel,413,105.2,150.9,134,85.2,rock,none,Mud Slap,Rock Slide,Bulldoze,ground,rock,ground,525,123.3,110.7,131,64.2
fire,none,Ember,Fire Punch,Return,fire,fire,normal,5,127.1,109.1,127,70.9,bug,dark,Sucker Punch,X-Scissor,Trailblaze,dark,bug,grass,920,132.9,104.1,121,80.5
steel,none,Shadow Claw,Close Combat,Trailblaze,ghost,fighting,grass,863,128.9,114.6,117,80.3,water,none,Water Gun,Crabhammer,Ice Beam,water,water,ice,693,134.4,110.5,111,55.7
dragon,ghost,Astonish,Breaking Swipe,Shadow Ball,ghost,dragon,ghost,887,143.6,97.3,112,81.2,flying,none,Air Slash,Grass Knot,Hurricane,flying,grass,flying,641,147.6,97.1,106,48.6
grass,none,Bullet Seed,Weather Ball (Fire),Solar Beam,grass,fire,grass,421,122.9,115.2,129,66.4,water,none,Bubble,Drill Peck,Icy Wind,water,flying,ice,393,106.7,98.3,131,56.6
ground,dark,Mud Slap,Crunch,Earthquake,ground,dark,ground,552,133.6,87.4,142,71.9,fire,none,Incinerate,Crunch,Flamethrower,fire,dark,fire,910,119.8,106.3,146,76.7
fire,rock,Fire Fang,Wild Charge,Rock Slide,fire,electric,rock,59,132.4,100.0,127,66.0,bug,steel,Bug Bite,Sand Tomb,Rock Tomb,bug,ground,rock,205,110.2,141.6,130,93.6
normal,flying,Fury Cutter,Leaf Blade,Aerial Ace,bug,grass,flying,83,116.8,109.2,131,83.5,dragon,ghost,Astonish,Shadow Ball,Outrage,ghost,ghost,dragon,886,131.0,92.6,141,68.2
ghost,fire,Ember,Energy Ball,Flame Burst,fire,grass,fire,608,133.3,97.1,130,60.7,ice,none,Ice Fang,Ice Punch,Ice Beam,ice,ice,ice,554,132.0,83.5,154,68.2
fire,none,Fire Spin,Crunch,Flamethrower,fire,dark,fire,514,136.6,94.5,126,63.6,grass,none,Leafage,Grass Knot,Play Rough,grass,grass,fairy,907,124.9,111.0,129,58.1
ghost,none,Astonish,Night Shade,Power Gem,ghost,ghost,rock,222,99.6,162.1,139,92.3,fire,none,Karate Chop,Fire Punch,Scorching Sands,fighting,fire,ground,126,136.6,107.5,112,77.0
ghost,grass,Shadow Claw,Seed Bomb,Shadow Ball,ghost,grass,ghost,709,127.8,104.6,131,81.0,rock,electric,Volt Switch,Stone Edge,Rock Blast,electric,rock,rock,75,122.9,127.3,117,74.5
normal,psychic,Confusion,Psychic Fangs,Trailblaze,psychic,psychic,grass,203,129.1,102.7,129,75.1,fighting,none,Bubble,Crabhammer,Power-Up Punch,water,water,fighting,739,135.7,99.1,122,59.6
fire,none,Fire Fang,Fire Punch,Flame Charge,fire,fire,fire,554,132.0,83.5,154,71.2,fairy,none,Fairy Wind,Moonblast,Swift,fairy,fairy,normal,36,117.2,111.5,146,86.9
psychic,none,Confusion,Rock Slide,Future Sight,psychic,rock,psychic,576,116.6,137.3,120,61.7,ice,none,Powder Snow,Ice Punch,Liquidation,ice,ice,water,614,134.9,94.6,129,69.6
electric,none,Volt Switch,Discharge,Hyper Beam,electric,electric,normal,101,123.1,127.2,116,70.6,steel,none,Metal Sound,Thunderbolt,Vise Grip,steel,electric,normal,600,114.1,137.0,125,76.3
psychic,fairy,Charm,Triple Axel,Shadow Ball,fairy,ice,ghost,282,137.2,114.5,104,70.5,fairy,none,Charm,Close Combat,Crunch,fairy,fighting,dark,210,135.3,87.7,139,74.0
normal,none,Shadow Claw,Swift,Grass Knot,ghost,normal,grass,264,114.6,112.2,152,86.0,electric,water,Thunder Shock,Thunderbolt,Hydro Pump,electric,electric,water,479,129.2,143.2,93,64.3
water,bug,Bug Bite,Water Pulse,Bubble Beam,bug,water,water,752,97.9,176.1,133,88.6,ground,ghost,Mud Slap,Shadow Punch,Brick Break,ground,ghost,fighting,622,119.3,89.9,141,78.8
water,none,Poison Jab,Drill Run,Icy Wind,poison,ground,ice,119,123.1,105.9,140,75.8,fire,none,Fire Fang,Wild Charge,Psychic Fangs,fire,electric,psychic,59,132.7,104.0,122,78.5
rock,electric,Volt Switch,Rock Tomb,Rock Slide,electric,rock,rock,74,123.5,123.5,113,69.2,grass,flying,Magical Leaf,Grass Knot,Energy Ball,grass,grass,grass,492,138.1,93.6,124,55.7
ice,none,Ice Shard,Triple Axel,Night Slash,ice,ice,dark,615,116.5,136.2,121,73.3,rock,ground,Rock Throw,Breaking Swipe,Stone Edge,rock,dragon,rock,95,84.0,207.6,105,64.8
ice,none,Lock On,Blizzard,Thunder,normal,ice,electric,378,103.7,180.2,115,78.7,rock,none,Sucker Punch,Stone Edge,Trailblaze,dark,rock,grass,745,145.2,92.5,115,63.9
water,ground,Mud Shot,Earth Power,Sludge Bomb,ground,ground,poison,537,120.3,101.5,152,70.5,rock,bug,Struggle Bug,Aqua Jet,Ancient Power,bug,water,rock,347,147.0,92.1,113,44.7
normal,none,Astonish,Crunch,Disarming Voice,ghost,dark,fairy,295,119.8,98.4,158,68.3,grass,poison,Astonish,Grass Knot,Foul Play,ghost,grass,dark,591,110.4,102.0,181,83.9
grass,ice,Powder Snow,Icy Wind,Energy Ball,ice,ice,grass,460,117.9,111.4,143,80.7,water,ice,Ice Shard,Icy Wind,Liquidation,ice,ice,water,91,119.7,166.0,94,68.5
fire,none,Incinerate,Crunch,Flamethrower,fire,dark,fire,910,119.8,106.3,146,76.7,psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,481,124.1,125.8,116,62.3
poison,none,Infestation,Sludge,Dark Pulse,bug,poison,dark,109,112.6,131.1,113,57.8,grass,normal,Magical Leaf,Earth Power,Trailblaze,grass,ground,grass,930,129.9,115.5,115,67.1
grass,none,Quick Attack,Leaf Blade,Last Resort,normal,grass,normal,470,128.1,133.3,102,73.5,psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,482,152.6,91.4,105,56.6
poison,ground,Poison Sting,Earthquake,Stone Edge,poison,ground,rock,980,94.2,119.4,209,92.1,fire,none,Ember,Weather Ball (Fire),Overheat,ice,ice,fairy,38,115.1,133.6,126,84.8
ground,none,Mud Slap,Trailblaze,Body Slam,ground,grass,normal,232,125.8,112.0,126,83.6,poison,none,Acid,Dark Pulse,Sludge Wave,poison,dark,poison,24,123.7,120.1,121,69.6
dark,normal,Quick Attack,Crunch,Return,normal,dark,normal,20,107.5,130.7,148,78.8,grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,poison,1,111.8,105.9,120,58.7
fighting,poison,Shadow Claw,Close Combat,Aerial Ace,ghost,fighting,flying,903,146.0,95.3,110,78.5,ground,flying,Mud Shot,Earth Power,Rock Slide,ground,ground,rock,645,139.9,100.5,114,70.2
fighting,poison,Shadow Claw,Close Combat,Aerial Ace,ghost,fighting,flying,903,146.0,95.3,110,78.5,ice,none,Astonish,Avalanche,Flash Cannon,ghost,ice,steel,584,131.5,116.8,110,62.7
water,bug,Bug Bite,Water Pulse,Bubble Beam,bug,water,water,752,97.9,176.1,133,88.6,water,none,Water Gun,Aqua Jet,Swift,water,water,normal,419,143.8,81.1,133,69.3
water,fighting,Counter,Scald,Icy Wind,fighting,water,ice,62,116.5,119.7,138,79.8,normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5
normal,flying,Quick Attack,Fly,Close Combat,normal,flying,fighting,398,140.4,90.8,124,75.4,electric,ice,Thunder Shock,Thunderbolt,Blizzard,electric,electric,ice,479,129.2,143.2,93,61.6
normal,none,Double Kick,Body Slam,Payback,fighting,normal,dark,832,111.0,141.7,128,78.6,water,none,Water Gun,Aqua Jet,Ice Beam,water,water,ice,8,107.9,137.8,139,80.6
fighting,none,Counter,Brutal Swing,Brick Break,fighting,dark,fighting,766,129.9,100.5,132,76.3,normal,none,Quick Attack,Swift,Dig,normal,normal,ground,133,100.0,108.4,135,59.4
electric,steel,Thunder Shock,Discharge,Magnet Bomb,electric,electric,steel,82,144.7,112.8,95,79.1,steel,none,Metal Sound,Thunderbolt,Vise Grip,steel,electric,normal,600,114.1,137.0,125,76.3
psychic,flying,Air Slash,Air Cutter,Ancient Power,flying,flying,rock,561,131.6,114.0,114,61.8,bug,ground,Bug Bite,Bug Buzz,Bulldoze,bug,bug,ground,413,109.9,146.8,126,72.8
water,bug,Bug Bite,Water Pulse,Bubble Beam,bug,water,water,752,97.9,176.1,133,88.6,grass,none,Vine Whip,Frenzy Plant,Earthquake,grass,grass,ground,154,111.5,138.4,130,82.1
bug,poison,Psywave,Poison Fang,Bug Buzz,psychic,poison,bug,49,128.2,104.4,131,79.9,normal,none,Mud Shot,Stomp,Megahorn,ground,normal,bug,626,118.9,115.9,136,68.8
poison,fairy,Fairy Wind,Sludge,Brutal Swing,fairy,poison,dark,110,118.4,138.9,115,87.7,water,none,Dragon Breath,Hydro Pump,Blizzard,dragon,water,ice,117,132.6,114.5,111,53.8
fire,fighting,Ember,Flamethrower,Low Sweep,fire,fire,fighting,391,129.6,95.4,139,68.8,normal,none,Quick Attack,Swift,Fire Punch,normal,normal,fire,427,121.8,100.8,135,69.0
fire,none,Fire Spin,Crunch,Flamethrower,fire,dark,fire,514,136.6,94.5,126,63.6,psychic,fairy,Charm,Triple Axel,Shadow Ball,fairy,ice,ghost,282,137.2,114.5,104,70.5
ice,rock,Powder Snow,Rock Slide,Icy Wind,ice,rock,ice,713,117.0,134.7,121,76.3,electric,none,Volt Switch,Dragon Claw,Thunderbolt,electric,dragon,electric,604,134.4,98.0,127,70.6
poison,ground,Poison Sting,Earthquake,Stone Edge,poison,ground,rock,980,94.2,119.4,209,92.1,rock,water,Mud Shot,Rock Slide,Hydro Pump,ground,rock,water,139,126.1,128.4,109,61.2
