Pokemon,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Sandshrew,27,Ground,None,126,120,137,729253.5813168671,50.0,1140,MUD_SHOT,DIG,ROCK_SLIDE
Sandshrew (Alolan),27,Ice,Steel,125,129,137,777725.7935670954,50.0,1173,METAL_CLAW,BLIZZARD,GYRO_BALL
Sandshrew (Alolan) (Shadow),27,Ice,Steel,125,129,137,777725.7935670954,50.0,1173,METAL_CLAW,BLIZZARD,GYRO_BALL
Sandshrew (Shadow),27,Ground,None,126,120,137,729253.5813168671,50.0,1140,MUD_SHOT,DIG,ROCK_SLIDE
Sandslash,28,Ground,None,182,175,181,543245.455187152,25.5,1474,METAL_CLAW,BULLDOZE,EARTHQUAKE
Sandslash (Alolan),28,Ice,Steel,177,195,181,554737.7985614263,25.0,1483,METAL_CLAW,BLIZZARD,BULLDOZE
Sandslash (Alolan) (Shadow),28,Ice,Steel,177,195,181,554737.7985614263,25.0,1483,METAL_CLAW,BLIZZARD,BULLDOZE
Sandslash (Shadow),28,Ground,None,182,175,181,543245.455187152,25.5,1474,METAL_CLAW,BULLDOZE,EARTHQUAKE
Nidoran Female,29,Poison,None,86,89,146,393411.9303790107,50.0,692,BITE,BODY_SLAM,POISON_FANG
Nidoran Female (Shadow),29,Poison,None,86,89,146,393411.9303790107,50.0,692,BITE,BODY_SLAM,POISON_FANG
Nidorina,30,Poison,None,117,120,172,850162.1521504249,50.0,1186,BITE,DIG,POISON_FANG
Nidorina (Shadow),30,Poison,None,117,120,172,850162.1521504249,50.0,1186,BITE,DIG,POISON_FANG
Nidoqueen,31,Poison,Ground,180,173,207,538718.5045412177,24.5,1489,BITE,EARTHQUAKE,SLUDGE_WAVE
Nidoqueen (Shadow),31,Poison,Ground,180,173,207,538718.5045412177,24.5,1489,BITE,EARTHQUAKE,SLUDGE_WAVE
Nidoran Male,32,Poison,None,105,76,130,365218.23719640344,50.0,736,PECK,BODY_SLAM,HORN_ATTACK
Nidoran Male (Shadow),32,Poison,None,105,76,130,365218.23719640344,50.0,736,PECK,BODY_SLAM,HORN_ATTACK
Nidorino,33,Poison,None,137,111,156,835168.9824128883,50.0,1272,POISON_JAB,DIG,HORN_ATTACK
Nidorino (Shadow),33,Poison,None,137,111,156,835168.9824128883,50.0,1272,POISON_JAB,DIG,HORN_ATTACK
Nidoking,34,Poison,Ground,204,156,191,448283.32522440737,23.5,1476,FURY_CUTTER,EARTHQUAKE,MEGAHORN
Nidoking (Shadow),34,Poison,Ground,204,156,191,448283.32522440737,23.5,1476,FURY_CUTTER,EARTHQUAKE,MEGAHORN
Clefairy,35,Fairy,None,107,108,172,699748.8483084266,50.0,1029,POUND,BODY_SLAM,DISARMING_VOICE
Clefable,36,Fairy,None,178,162,216,553082.6997970351,25.0,1485,CHARGE_BEAM,DAZZLING_GLEAM,METEOR_MASH
Vulpix,37,Fire,None,96,109,116,427328.57291949796,50.0,762,EMBER,BODY_SLAM,FLAME_CHARGE
Vulpix (Alolan),37,Ice,None,96,109,116,427328.57291949796,50.0,762,POWDER_SNOW,BLIZZARD,DARK_PULSE
Vulpix (Alolan) (Shadow),37,Ice,None,96,109,116,427328.57291949796,50.0,762,POWDER_SNOW,BLIZZARD,DARK_PULSE
Vulpix (Shadow),37,Fire,None,96,109,116,427328.57291949796,50.0,762,EMBER,BODY_SLAM,FLAME_CHARGE
Ninetales,38,Fire,None,169,190,177,635784.1583930525,27.0,1493,EMBER,FIRE_BLAST,FLAMETHROWER
Ninetales (Alolan),38,Ice,Fairy,170,193,177,614209.3761800887,26.5,1485,FEINT_ATTACK,BLIZZARD,DAZZLING_GLEAM
Ninetales (Alolan) (Shadow),38,Ice,Fairy,170,193,177,614209.3761800887,26.5,1485,FEINT_ATTACK,BLIZZARD,DAZZLING_GLEAM
Ninetales (Shadow),38,Fire,None,169,190,177,635784.1583930525,27.0,1493,EMBER,FIRE_BLAST,FLAMETHROWER
Jigglypuff,39,Normal,Fairy,80,41,251,289836.9677260989,50.0,573,FEINT_ATTACK,BODY_SLAM,DAZZLING_GLEAM
Wigglytuff,40,Normal,Fairy,156,90,295,845882.9738196429,36.0,1496,FEINT_ATTACK,DAZZLING_GLEAM,HYPER_BEAM
Zubat,41,Poison,Flying,83,73,120,255969.61239710913,50.0,548,BITE,AIR_CUTTER,POISON_FANG
Zubat (Shadow),41,Poison,Flying,83,73,120,255969.61239710913,50.0,548,BITE,AIR_CUTTER,POISON_FANG
Golbat,42,Poison,Flying,161,150,181,776484.7415032086,33.0,1491,BITE,AIR_CUTTER,OMINOUS_WIND
Golbat (Shadow),42,Poison,Flying,161,150,181,776484.7415032086,33.0,1491,BITE,AIR_CUTTER,OMINOUS_WIND
Oddish,43,Grass,Poison,131,112,128,661158.3699119345,50.0,1107,ACID,MOONBLAST,SEED_BOMB
Oddish (Shadow),43,Grass,Poison,131,112,128,661158.3699119345,50.0,1107,ACID,MOONBLAST,SEED_BOMB
Gloom,44,Grass,Poison,153,136,155,982648.8232999068,46.0,1494,ACID,MOONBLAST,PETAL_BLIZZARD
Gloom (Shadow),44,Grass,Poison,153,136,155,982648.8232999068,46.0,1494,ACID,MOONBLAST,PETAL_BLIZZARD
Vileplume,45,Grass,Poison,202,167,181,450309.2490462512,23.5,1472,ACID,MOONBLAST,PETAL_BLIZZARD
Vileplume (Shadow),45,Grass,Poison,202,167,181,450309.2490462512,23.5,1472,ACID,MOONBLAST,PETAL_BLIZZARD
Paras,46,Bug,Grass,121,99,111,468111.98017611774,50.0,895,BUG_BITE,CROSS_POISON,SEED_BOMB
Parasect,47,Bug,Grass,165,146,155,815749.7616063597,37.5,1494,BUG_BITE,CROSS_POISON,SOLAR_BEAM
Venonat,48,Bug,Poison,100,100,155,545679.8415793574,50.0,879,BUG_BITE,POISON_FANG,PSYBEAM
Venonat (Shadow),48,Bug,Poison,100,100,155,545679.8415793574,50.0,879,BUG_BITE,POISON_FANG,PSYBEAM
Venomoth,49,Bug,Poison,179,143,172,642411.909263679,29.5,1477,BUG_BITE,BUG_BUZZ,POISON_FANG
Venomoth (Shadow),49,Bug,Poison,179,143,172,642411.909263679,29.5,1477,BUG_BITE,BUG_BUZZ,POISON_FANG
Diglett,50,Ground,None,109,78,67,200540.5102440101,50.0,556,MUD_SHOT,DIG,MUD_BOMB
Diglett (Alolan),50,Ground,Steel,108,81,67,206343.02324330749,50.0,561,METAL_CLAW,DIG,MUD_BOMB
Diglett (Alolan) (Shadow),50,Ground,Steel,108,81,67,206343.02324330749,50.0,561,METAL_CLAW,DIG,MUD_BOMB
Diglett (Shadow),50,Ground,None,109,78,67,200540.5102440101,50.0,556,MUD_SHOT,DIG,MUD_BOMB
Dugtrio,51,Ground,None,167,136,111,887533.1241138648,50.0,1448,MUD_SHOT,EARTHQUAKE,MUD_BOMB
Dugtrio (Alolan),51,Ground,Steel,201,142,111,661846.8697577417,36.5,1497,METAL_CLAW,EARTHQUAKE,IRON_HEAD
Dugtrio (Alolan) (Shadow),51,Ground,Steel,201,142,111,661846.8697577417,36.5,1497,METAL_CLAW,EARTHQUAKE,IRON_HEAD
Dugtrio (Shadow),51,Ground,None,167,136,111,887533.1241138648,50.0,1448,MUD_SHOT,EARTHQUAKE,MUD_BOMB
Meowth,52,Normal,None,92,78,120,303158.5968908492,50.0,628,BITE,BODY_SLAM,DARK_PULSE
Meowth (Alolan),52,Dark,None,99,78,120,326225.0118716747,50.0,676,BITE,DARK_PULSE,FOUL_PLAY
Meowth (Galarian),52,Steel,None,115,92,137,510284.5826939454,50.0,911,SCRATCH,NIGHT_SLASH,GYRO_BALL
Meowth (Shadow),52,Normal,None,92,78,120,303158.5968908492,50.0,628,BITE,BODY_SLAM,DARK_PULSE
Persian,53,Normal,None,150,136,163,994746.7667425434,45.5,1493,FEINT_ATTACK,FOUL_PLAY,NIGHT_SLASH
Persian (Alolan),53,Dark,None,158,136,163,903151.4806842637,41.5,1497,FEINT_ATTACK,DARK_PULSE,FOUL_PLAY
Persian (Shadow),53,Normal,None,150,136,163,994746.7667425434,45.5,1493,FEINT_ATTACK,FOUL_PLAY,NIGHT_SLASH
Psyduck,54,Water,None,122,95,137,558997.9502290006,50.0,982,WATER_GUN,AQUA_TAIL,CROSS_CHOP
Psyduck (Shadow),54,Water,None,122,95,137,558997.9502290006,50.0,982,WATER_GUN,AQUA_TAIL,CROSS_CHOP
Golduck,55,Water,None,191,162,190,522039.40843826474,25.0,1494,CONFUSION,HYDRO_PUMP,ICE_BEAM
Golduck (Shadow),55,Water,None,191,162,190,522039.40843826474,25.0,1494,CONFUSION,HYDRO_PUMP,ICE_BEAM
Mankey,56,Fighting,None,148,82,120,512699.6560573224,50.0,1036,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Mankey (Shadow),56,Fighting,None,148,82,120,512699.6560573224,50.0,1036,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Primeape,57,Fighting,None,207,138,163,520874.5843280457,27.0,1495,COUNTER,CLOSE_COMBAT,CROSS_CHOP
Primeape (Shadow),57,Fighting,None,207,138,163,520874.5843280457,27.0,1495,COUNTER,CLOSE_COMBAT,CROSS_CHOP
Growlithe,58,Fire,None,136,93,146,650101.1360639832,50.0,1118,BITE,BODY_SLAM,FLAME_WHEEL
Growlithe (Hisuian),58,Fire,Rock,142,92,155,712876.1450392725,50.0,1197,BITE,ROCK_SLIDE,CRUNCH
Growlithe (Shadow),58,Fire,None,136,93,146,650101.1360639832,50.0,1118,BITE,BODY_SLAM,FLAME_WHEEL
Arcanine,59,Fire,None,227,166,207,328640.65908398747,19.5,1464,BITE,BULLDOZE,CRUNCH
Arcanine (Hisuian),59,Fire,Rock,232,165,216,322264.18479533755,19.0,1484,FIRE_FANG,ROCK_SLIDE,WILD_CHARGE
Arcanine (Shadow),59,Fire,None,227,166,207,328640.65908398747,19.5,1464,BITE,BULLDOZE,CRUNCH
Poliwag,60,Water,None,101,82,120,349882.87339047,50.0,707,BUBBLE,BODY_SLAM,BUBBLE_BEAM
Poliwag (Shadow),60,Water,None,101,82,120,349882.87339047,50.0,707,BUBBLE,BODY_SLAM,BUBBLE_BEAM
Poliwhirl,61,Water,None,130,123,163,917576.4959336708,50.0,1299,BUBBLE,BUBBLE_BEAM,MUD_BOMB
Poliwhirl (Shadow),61,Water,None,130,123,163,917576.4959336708,50.0,1299,BUBBLE,BUBBLE_BEAM,MUD_BOMB
Poliwrath,62,Water,Fighting,182,184,207,511239.0370514261,23.5,1489,BUBBLE,DYNAMIC_PUNCH,HYDRO_PUMP
Poliwrath (Shadow),62,Water,Fighting,182,184,207,511239.0370514261,23.5,1489,BUBBLE,DYNAMIC_PUNCH,HYDRO_PUMP
Abra,63,Psychic,None,195,82,93,523525.24001123547,50.0,1202,CHARGE_BEAM,PSYSHOCK,SHADOW_BALL
Abra (Shadow),63,Psychic,None,195,82,93,523525.24001123547,50.0,1202,CHARGE_BEAM,PSYSHOCK,SHADOW_BALL
Kadabra,64,Psychic,None,232,117,120,525265.8970076606,31.0,1496,CONFUSION,DAZZLING_GLEAM,PSYBEAM
Kadabra (Shadow),64,Psychic,None,232,117,120,525265.8970076606,31.0,1496,CONFUSION,DAZZLING_GLEAM,PSYBEAM
Alakazam,65,Psychic,None,271,167,146,278391.2749884742,19.5,1472,CONFUSION,DAZZLING_GLEAM,FIRE_PUNCH
Alakazam (Mega),65,Psychic,None,367,207,146,138537.62203284787,13.0,1480,CONFUSION,DAZZLING_GLEAM,FIRE_PUNCH
Alakazam (Shadow),65,Psychic,None,271,167,146,278391.2749884742,19.5,1472,CONFUSION,DAZZLING_GLEAM,FIRE_PUNCH
Machop,66,Fighting,None,137,82,172,680250.8274400195,50.0,1148,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Machop (Shadow),66,Fighting,None,137,82,172,680250.8274400195,50.0,1148,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Machoke,67,Fighting,None,177,125,190,694691.4893270793,31.5,1496,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Machoke (Shadow),67,Fighting,None,177,125,190,694691.4893270793,31.5,1496,KARATE_CHOP,BRICK_BREAK,CROSS_CHOP
Machamp,68,Fighting,None,234,159,207,324489.26176632976,19.5,1477,BULLET_PUNCH,CLOSE_COMBAT,CROSS_CHOP
Machamp (Shadow),68,Fighting,None,234,159,207,324489.26176632976,19.5,1477,BULLET_PUNCH,CLOSE_COMBAT,CROSS_CHOP
Bellsprout,69,Grass,Poison,139,61,137,408951.1320096373,50.0,897,ACID,POWER_WHIP,SLUDGE_BOMB
Bellsprout (Shadow),69,Grass,Poison,139,61,137,408951.1320096373,50.0,897,ACID,POWER_WHIP,SLUDGE_BOMB
Weepinbell,70,Grass,Poison,172,92,163,908050.6861572487,50.0,1487,ACID,POWER_WHIP,SEED_BOMB
Weepinbell (Shadow),70,Grass,Poison,172,92,163,908050.6861572487,50.0,1487,ACID,POWER_WHIP,SEED_BOMB
Victreebel,71,Grass,Poison,207,135,190,471475.38196649565,25.0,1479,ACID,LEAF_BLADE,SLUDGE_BOMB
Victreebel (Shadow),71,Grass,Poison,207,135,190,471475.38196649565,25.0,1479,ACID,LEAF_BLADE,SLUDGE_BOMB
Tentacool,72,Water,Poison,97,149,120,610584.0580913383,50.0,915,BUBBLE,BUBBLE_BEAM,WATER_PULSE
Tentacool (Shadow),72,Water,Poison,97,149,120,610584.0580913383,50.0,915,BUBBLE,BUBBLE_BEAM,WATER_PULSE
Tentacruel,73,Water,Poison,166,209,190,585341.4529234425,25.0,1475,ACID,BLIZZARD,HYDRO_PUMP
Tentacruel (Shadow),73,Water,Poison,166,209,190,585341.4529234425,25.0,1475,ACID,BLIZZARD,HYDRO_PUMP
Geodude,74,Rock,Ground,132,132,120,736097.4626848043,50.0,1173,ROCK_THROW,DIG,ROCK_SLIDE
Geodude (Alolan),74,Rock,Electric,132,132,120,736097.4626848043,50.0,1173,ROCK_THROW,ROCK_SLIDE,ROCK_TOMB
Geodude (Alolan) (Shadow),74,Rock,Electric,132,132,120,736097.4626848043,50.0,1173,ROCK_THROW,ROCK_SLIDE,ROCK_TOMB
Geodude (Shadow),74,Rock,Ground,132,132,120,736097.4626848043,50.0,1173,ROCK_THROW,DIG,ROCK_SLIDE
Graveler,75,Rock,Ground,164,164,146,801976.6274862512,36.0,1494,MUD_SHOT,DIG,ROCK_BLAST
Graveler (Alolan),75,Rock,Electric,164,164,146,801976.6274862512,36.0,1494,ROCK_THROW,ROCK_BLAST,STONE_EDGE
Graveler (Alolan) (Shadow),75,Rock,Electric,164,164,146,801976.6274862512,36.0,1494,ROCK_THROW,ROCK_BLAST,STONE_EDGE
Graveler (Shadow),75,Rock,Ground,164,164,146,801976.6274862512,36.0,1494,MUD_SHOT,DIG,ROCK_BLAST
Golem,76,Rock,Ground,211,198,190,388555.44553345547,20.5,1497,MUD_SHOT,ANCIENT_POWER,EARTHQUAKE
Golem (Alolan),76,Rock,Electric,211,198,190,388555.44553345547,20.5,1497,ROCK_THROW,ROCK_BLAST,STONE_EDGE
Golem (Alolan) (Shadow),76,Rock,Electric,211,198,190,388555.44553345547,20.5,1497,ROCK_THROW,ROCK_BLAST,STONE_EDGE
Golem (Shadow),76,Rock,Ground,211,198,190,388555.44553345547,20.5,1497,MUD_SHOT,ANCIENT_POWER,EARTHQUAKE
Ponyta,77,Fire,None,170,127,137,884846.5743636766,45.5,1499,EMBER,FIRE_BLAST,FLAME_CHARGE
Ponyta (Galarian),77,Psychic,None,170,127,137,884846.5743636766,45.5,1499,LOW_KICK,PLAY_ROUGH,PSYBEAM
Rapidash,78,Fire,None,207,162,163,485371.49848761345,25.0,1500,EMBER,DRILL_RUN,FIRE_BLAST
Rapidash (Galarian),78,Psychic,Fairy,207,162,163,485371.49848761345,25.0,1500,LOW_KICK,PLAY_ROUGH,PSYCHIC
Slowpoke,79,Water,Psychic,109,98,207,778447.1471125123,50.0,1096,CONFUSION,PSYCHIC,PSYSHOCK
Slowpoke (Galarian),79,Psychic,None,109,98,207,778447.1471125123,50.0,1096,CONFUSION,SURF,PSYSHOCK
Slowpoke (Shadow),79,Water,Psychic,109,98,207,778447.1471125123,50.0,1096,CONFUSION,PSYCHIC,PSYSHOCK
Slowbro,80,Water,Psychic,177,180,216,540631.241202609,24.0,1494,CONFUSION,ICE_BEAM,PSYCHIC
Slowbro (Galarian),80,Poison,Psychic,182,156,216,544566.6532333688,25.0,1490,CONFUSION,FOCUS_BLAST,PSYCHIC
Slowbro (Mega),80,Water,Psychic,224,259,216,265235.21627792873,15.5,1465,CONFUSION,ICE_BEAM,PSYCHIC
Slowbro (Shadow),80,Water,Psychic,177,180,216,540631.241202609,24.0,1494,CONFUSION,ICE_BEAM,PSYCHIC
Magnemite,81,Electric,Steel,165,121,93,653669.8822279122,50.0,1235,SPARK,DISCHARGE,MAGNET_BOMB
Magnemite (Shadow),81,Electric,Steel,165,121,93,653669.8822279122,50.0,1235,SPARK,DISCHARGE,MAGNET_BOMB
Magneton,82,Electric,Steel,223,169,137,431504.24705759983,24.5,1483,CHARGE_BEAM,DISCHARGE,FLASH_CANNON
Magneton (Shadow),82,Electric,Steel,223,169,137,431504.24705759983,24.5,1483,CHARGE_BEAM,DISCHARGE,FLASH_CANNON
Farfetch'd,83,Normal,Flying,124,115,141,707855.8904967423,50.0,1114,AIR_SLASH,AERIAL_ACE,AIR_CUTTER
Farfetch'd (Galarian),83,Fighting,None,174,114,141,867862.4041686808,46.5,1493,ROCK_SMASH,BRICK_BREAK,BRAVE_BIRD
Doduo,84,Normal,Flying,158,83,111,512465.18975119863,50.0,1070,PECK,AERIAL_ACE,BRAVE_BIRD
Dodrio,85,Normal,Flying,218,140,155,472530.5259688492,26.0,1490,FEINT_ATTACK,AERIAL_ACE,AIR_CUTTER
Seel,86,Water,None,85,121,163,590198.5153644655,50.0,842,ICE_SHARD,AQUA_JET,AQUA_TAIL
Dewgong,87,Water,Ice,139,177,207,904681.3304753011,33.0,1495,FROST_BREATH,AQUA_JET,AURORA_BEAM
Grimer,88,Poison,None,135,90,190,812710.9124425461,50.0,1246,ACID,MUD_BOMB,SLUDGE
Grimer (Alolan),88,Poison,Dark,135,90,190,812710.9124425461,50.0,1246,BITE,CRUNCH,GUNK_SHOT
Grimer (Alolan) (Shadow),88,Poison,Dark,135,90,190,812710.9124425461,50.0,1246,BITE,CRUNCH,GUNK_SHOT
Grimer (Shadow),88,Poison,None,135,90,190,812710.9124425461,50.0,1246,MUD_SLAP,MUD_BOMB,SLUDGE
Muk,89,Poison,None,190,172,233,460726.9491241815,22.0,1493,ACID,DARK_PULSE,GUNK_SHOT
Muk (Alolan),89,Poison,Dark,190,172,233,460726.9491241815,22.0,1493,BITE,DARK_PULSE,GUNK_SHOT
Muk (Alolan) (Shadow),89,Poison,Dark,190,172,233,460726.9491241815,22.0,1493,BITE,DARK_PULSE,GUNK_SHOT
Muk (Shadow),89,Poison,None,190,172,233,460726.9491241815,22.0,1493,INFESTATION,DARK_PULSE,GUNK_SHOT
