left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
bug,flying,Bug Bite,Bug Buzz,Signal Beam,ghost,dark,fairy,12,126.7,111.9,124,59.2,fire,none,Karate Chop,Fire Punch,Thunderbolt,dragon,flying,grass,467,141.4,103.4,108,76.3,1
electric,none,Thunder Shock,Thunder Punch,Brick Break,dragon,flying,grass,239,126.0,97.5,120,69.1,water,ice,Ice Shard,Icy Wind,Drill Run,bug,bug,bug,87,102.9,133.8,158,83.8,0
electric,flying,Thunder Shock,Acrobatics,Discharge,dragon,flying,grass,587,127.9,111.4,123,89.3,ghost,flying,Hex,Icy Wind,Shadow Ball,bug,bug,bug,426,119.8,75.0,208,87.4,0
steel,ghost,Hex,Shadow Ball,Power Gem,dragon,flying,grass,1000,135.7,106.2,114,75.0,bug,flying,Bug Bite,Bug Buzz,Signal Beam,bug,bug,bug,12,126.7,111.9,124,59.2,0
rock,none,Rock Throw,Rock Slide,Rock Blast,bug,bug,bug,299,81.5,193.3,98,56.3,water,ice,Ice Shard,Icy Wind,Drill Run,dragon,flying,grass,87,102.9,133.8,158,83.8,1
dark,steel,Snarl,Dark Pulse,X-Scissor,bug,bug,bug,625,139.2,111.5,103,68.8,grass,poison,Vine Whip,Power Whip,Sludge Bomb,dragon,flying,grass,1,111.8,105.9,120,58.7,1
dragon,ground,Dragon Tail,Sand Tomb,Outrage,bug,bug,bug,445,132.5,102.5,124,67.0,grass,none,Bullet Seed,Aerial Ace,Petal Blizzard,dragon,flying,grass,556,136.8,93.6,128,56.5,1
grass,normal,Magical Leaf,Earth Power,Trailblaze,bug,bug,bug,930,129.9,115.5,115,67.1,grass,poison,Acid,Leaf Blade,Sludge Bomb,dragon,flying,grass,71,135.8,94.8,128,86.7,1
ice,fairy,Powder Snow,Weather Ball (Ice),Dazzling Gleam,dragon,flying,grass,38,115.1,133.6,126,84.5,water,ice,Psywave,Sparkling Aria,Ice Beam,bug,bug,bug,131,104.7,114.0,179,93.0,0
ghost,dragon,Shadow Claw,Ominous Wind,Shadow Ball,bug,bug,bug,487,119.5,103.5,152,81.7,fighting,none,Bubble,Crabhammer,Power-Up Punch,dragon,flying,grass,739,135.7,99.1,122,59.6,1
dark,flying,Snarl,Brave Bird,Dark Pulse,dragon,flying,grass,430,150.6,68.3,145,65.0,grass,dragon,Dragon Tail,Seed Bomb,Draco Meteor,bug,bug,bug,103,134.4,94.2,131,63.6,0
grass,fighting,Vine Whip,Frenzy Plant,Superpower,bug,bug,bug,652,119.9,124.6,125,82.4,fairy,none,Charm,Close Combat,Crunch,dragon,flying,grass,210,135.3,87.7,139,74.0,1
water,flying,Wing Attack,Weather Ball (Water),Hurricane,grass,grass,fighting,279,123.3,128.7,114,79.3,normal,none,Quick Attack,Swift,Dig,dragon,flying,grass,133,100.0,108.4,135,59.4,1
electric,flying,Air Slash,Air Cutter,Aerial Ace,grass,grass,fighting,741,130.9,101.4,128,66.2,water,psychic,Psywave,Surf,Power Gem,dragon,flying,grass,121,132.2,121.8,104,79.7,1
fighting,none,Tackle,Body Slam,Crunch,dragon,flying,grass,674,123.3,100.2,147,57.9,fighting,none,Karate Chop,Rage Fist,Close Combat,grass,grass,fighting,57,140.2,99.2,115,89.6,0
grass,dark,Leafage,Night Slash,Frenzy Plant,grass,grass,fighting,908,141.6,95.0,118,72.1,fire,none,Incinerate,Crunch,Flamethrower,dragon,flying,grass,910,119.8,106.3,146,76.7,1
poison,dark,Poison Jab,Crunch,Trailblaze,grass,grass,fighting,435,121.7,95.2,157,80.2,fire,none,Incinerate,Crunch,Flamethrower,dragon,flying,grass,910,119.8,106.3,146,76.7,1
poison,none,Infestation,Body Slam,Seed Bomb,dragon,flying,grass,569,121.7,114.6,132,57.1,electric,flying,Thunder Shock,Acrobatics,Discharge,grass,grass,fighting,587,127.9,111.4,123,89.3,0
psychic,none,Psycho Cut,Swift,Play Rough,grass,grass,fighting,77,134.8,109.4,113,58.7,fairy,none,Fairy Wind,Play Rough,Energy Ball,dragon,flying,grass,685,117.4,118.1,138,73.6,1
steel,psychic,Confusion,Doom Desire,Dazzling Gleam,dragon,flying,grass,385,120.5,119.4,129,74.7,bug,flying,Fury Cutter,Aerial Ace,Night Slash,grass,grass,fighting,123,134.9,110.7,111,79.5,0
poison,ground,Fury Cutter,Sand Tomb,Earth Power,dragon,flying,grass,34,130.1,104.1,127,71.7,normal,flying,Steel Wing,Fly,Drill Run,grass,grass,fighting,22,132.6,102.7,124,59.5,0
grass,dark,Leafage,Night Slash,Frenzy Plant,grass,grass,fighting,908,141.6,95.0,118,72.1,electric,none,Volt Switch,Discharge,Hyper Beam,dragon,flying,grass,101,123.1,127.2,116,70.6,1
rock,none,Rock Throw,Stone Edge,Rock Slide,grass,grass,fighting,874,125.6,108.0,131,63.1,grass,none,Vine Whip,Power Whip,Crunch,dragon,flying,grass,455,130.2,101.2,130,67.4,1
steel,psychic,Metal Sound,Psyshock,Payback,dragon,flying,grass,437,111.3,151.8,119,86.7,bug,flying,Bug Bite,Aerial Ace,Ancient Power,grass,grass,fighting,469,137.3,98.3,121,67.3,0
normal,grass,Tackle,Wild Charge,Trailblaze,dragon,flying,grass,585,109.2,96.6,142,55.7,water,none,Water Gun,Aqua Tail,Aqua Jet,bug,flying,rock,550,134.0,96.5,129,72.6,0
fire,none,Fire Spin,Flame Charge,Flamethrower,fire,fire,fire,814,130.0,102.1,130,67.0,grass,none,Magical Leaf,Ancient Power,Energy Ball,grass,rock,grass,153,105.6,141.6,141,72.3,0
electric,none,Volt Switch,Thunder Cage,Hyper Beam,electric,electric,normal,894,152.3,82.4,117,70.1,bug,flying,Fury Cutter,X-Scissor,Power Gem,bug,bug,rock,416,109.1,143.3,131,86.5,1
fighting,none,Tackle,Body Slam,Crunch,normal,normal,dark,674,123.3,100.2,147,57.9,grass,fighting,Vine Whip,Frenzy Plant,Superpower,grass,grass,fighting,652,119.9,124.6,125,82.4,1
normal,none,Mud Shot,Swift,Crunch,ground,normal,dark,925,117.3,123.7,132,71.7,ground,steel,Mud Slap,Drill Run,Rock Slide,ground,ground,rock,530,142.7,78.8,139,75.9,1
bug,water,Fury Cutter,X-Scissor,Aqua Jet,ground,normal,dark,768,125.2,133.6,107,91.9,bug,none,Water Shuriken,Bug Buzz,Acid Spray,ground,ground,rock,617,143.2,84.3,129,53.4,1
fairy,steel,Fairy Wind,Play Rough,Flash Cannon,bug,bug,water,958,104.2,134.4,149,86.2,bug,flying,Infestation,Air Cutter,Silver Wind,water,bug,poison,267,146.4,81.9,128,59.7,1
normal,none,Sand Attack,Dig,Thunderbolt,fairy,fairy,steel,507,119.7,110.9,141,69.0,steel,fairy,Fairy Wind,Iron Head,Play Rough,bug,flying,bug,303,125.9,121.2,117,77.4,1
fighting,none,Bubble,Crabhammer,Power-Up Punch,fairy,steel,fairy,739,135.7,99.1,122,59.6,dragon,ground,Mud Shot,Dig,Flamethrower,ground,ground,electric,444,128.8,101.0,133,64.1,0
psychic,none,Psycho Cut,Fire Punch,Shadow Ball,water,water,fighting,65,157.0,103.1,88,58.5,water,none,Water Gun,Aqua Jet,Ice Beam,ground,ground,fire,8,107.9,137.8,139,80.6,0
poison,none,Poison Jab,Thunder Punch,Dark Pulse,psychic,fire,ghost,89,117.3,111.3,146,76.2,water,none,Water Gun,Ice Punch,Crunch,water,water,ice,159,118.8,118.8,134,70.8,0
ghost,grass,Astonish,Grass Knot,Foul Play,poison,dark,poison,710,113.4,115.1,133,78.7,fire,none,Incinerate,Flame Charge,Wild Charge,water,ice,dark,78,134.7,110.9,111,77.9,0
ghost,none,Hex,Shadow Ball,Dark Pulse,water,ice,dark,429,133.8,120.8,104,68.2,fighting,none,Karate Chop,Cross Chop,Return,poison,dark,poison,56,137.0,81.5,113,67.0,1
fighting,fire,Double Kick,Flame Charge,Trailblaze,water,ice,dark,128,127.8,123.1,111,72.9,water,dark,Waterfall,Crunch,Poison Fang,poison,dark,poison,319,166.6,64.8,124,64.7,1
ghost,grass,Shadow Claw,Seed Bomb,Shadow Ball,poison,dark,poison,709,127.8,104.6,131,81.0,poison,none,Poison Jab,Sludge Bomb,Fell Stinger,water,ice,dark,803,119.7,113.6,137,68.1,0
psychic,flying,Psycho Cut,Fly,Brave Bird,poison,dark,poison,144,134.1,108.3,115,75.9,steel,poison,Metal Sound,Gyro Ball,Gunk Shot,water,ice,dark,965,116.0,102.5,120,53.4,0
grass,none,Vine Whip,Frenzy Plant,Aerial Ace,water,ice,dark,497,110.2,143.6,128,84.2,fighting,none,Bubble,Crabhammer,Power-Up Punch,poison,dark,poison,739,135.7,99.1,122,59.6,1
rock,ice,Powder Snow,Weather Ball (Ice),Thunderbolt,poison,dark,poison,698,114.3,104.2,164,80.0,dragon,none,Dragon Tail,Dragon Claw,Aqua Tail,water,ice,dark,611,145.5,89.3,119,75.8,0
water,psychic,Water Gun,Surf,Ice Beam,dragon,dragon,water,80,113.4,120.9,143,67.2,bug,poison,Confusion,Sludge Bomb,Silver Wind,poison,dark,poison,269,95.0,148.7,142,64.5,1
ghost,grass,Hex,Shadow Ball,Seed Bomb,poison,dark,poison,711,115.8,128.8,130,82.0,normal,none,Hex,Weather Ball (Rock),Energy Ball,dragon,dragon,water,351,113.4,119.6,146,80.6,0
ground,dark,Mud Slap,Crunch,Earthquake,poison,dark,poison,552,133.6,87.4,142,71.9,water,poison,Poison Sting,Wrap,Water Pulse,dragon,dragon,water,72,94.1,137.8,113,60.2,0
ghost,grass,Shadow Claw,Seed Bomb,Shadow Ball,poison,dark,poison,709,127.8,104.6,131,81.0,water,ground,Mud Slap,Body Slam,Earth Power,dragon,dragon,water,423,114.4,102.5,167,91.6,0
psychic,none,Confusion,Dark Pulse,Psychic,dragon,dragon,water,605,134.0,94.7,132,54.6,water,dark,Snarl,Night Slash,Scald,poison,dark,poison,342,144.5,96.9,110,71.1,1
electric,steel,Thunder Shock,Fell Stinger,Wild Charge,poison,dark,poison,777,132.1,105.6,121,89.8,ice,fairy,Powder Snow,Weather Ball (Ice),Dazzling Gleam,psychic,dark,psychic,38,115.1,133.6,126,84.5,0
electric,dark,Thunder Shock,Aura Wheel,Psychic Fangs,psychic,dark,psychic,877,141.7,97.8,114,90.1,rock,flying,Rock Throw,Rock Slide,Earth Power,poison,dark,poison,142,135.0,103.9,118,65.3,1
water,psychic,Water Gun,Surf,Psychic,psychic,dark,psychic,199,113.4,120.9,143,67.2,poison,psychic,Acid,Surf,Shadow Ball,poison,dark,poison,199,117.9,115.5,139,76.2,1
ice,ghost,Hex,Avalanche,Shadow Ball,psychic,dark,psychic,478,122.6,115.6,128,85.3,electric,fighting,Thunder Shock,Brick Break,Wild Charge,poison,dark,poison,923,144.5,94.3,113,79.0,1
psychic,none,Sucker Punch,Psychic,Thunderbolt,poison,dark,poison,678,117.6,124.5,130,62.4,ice,water,Powder Snow,Surf,Body Slam,psychic,dark,psychic,364,108.6,113.2,167,84.2,0
ground,none,Sand Attack,Rock Tomb,Dig,poison,dark,poison,449,115.3,111.1,152,84.9,psychic,flying,Psycho Cut,Fly,Brave Bird,psychic,dark,psychic,144,134.1,108.3,115,75.9,0
poison,psychic,Poison Jab,Scald,Brutal Swing,psychic,dark,psychic,80,119.1,108.4,145,74.7,rock,none,Sucker Punch,Stone Edge,Drill Run,poison,dark,poison,745,144.6,92.0,117,63.5,1
fire,fighting,Ember,Blast Burn,Rock Slide,psychic,dark,psychic,500,137.9,79.9,147,68.4,grass,none,Vine Whip,Body Slam,Seed Bomb,poison,dark,poison,650,105.0,101.7,136,59.0,1
electric,none,Charge Beam,Trailblaze,Discharge,poison,dark,poison,180,121.9,99.8,151,59.2,fighting,none,Force Palm,Upper Hand,Heavy Slam,fire,fire,rock,297,125.6,75.5,186,79.9,0
fairy,none,Vine Whip,Dazzling Gleam,Psychic,fire,fire,rock,670,114.3,133.7,128,71.6,fighting,fire,Double Kick,Flame Charge,Trailblaze,poison,dark,poison,128,127.8,123.1,111,72.9,1
psychic,flying,Air Slash,Air Cutter,Aerial Ace,fire,fire,rock,741,130.9,101.4,128,61.2,ground,rock,Mud Slap,Bulldoze,Stomp,poison,dark,poison,111,113.4,110.2,158,72.8,1
rock,water,Mud Shot,Aqua Jet,Rock Tomb,poison,dark,poison,140,133.6,128.6,97,73.3,dark,psychic,Psywave,Superpower,Foul Play,fire,fire,rock,687,118.5,117.1,136,88.7,0
ghost,grass,Astonish,Grass Knot,Foul Play,poison,dark,poison,710,114.3,116.0,126,76.4,normal,none,Mud Shot,Body Slam,Trailblaze,fire,fire,rock,820,107.5,110.7,175,80.6,0
flying,dragon,Air Slash,Hurricane,Draco Meteor,poison,dark,poison,715,126.4,110.7,127,51.6,electric,none,Volt Switch,Thunder Cage,Hyper Beam,fire,fire,rock,894,152.3,82.4,117,70.1,0
normal,flying,Bullet Seed,Drill Peck,Rock Blast,fire,fire,rock,733,137.3,96.8,122,60.5,fire,flying,Fire Spin,Sky Attack,Ancient Power,poison,dark,poison,146,136.3,102.6,117,68.6,1
poison,ground,Poison Sting,Earth Power,Poison Fang,poison,dark,poison,31,117.8,116.5,139,84.9,water,none,Water Gun,Weather Ball (Water),Thunder,fire,fire,rock,351,113.4,119.6,146,81.7,0
grass,fighting,Force Palm,Dynamic Punch,Grass Knot,fire,fire,rock,286,150.6,97.3,101,66.4,water,flying,Bubble,Aerial Ace,Water Pulse,poison,dark,poison,458,100.8,163.0,120,78.1,1
grass,poison,Vine Whip,Frenzy Plant,Sludge Bomb,poison,dark,poison,3,122.5,121.9,122,82.2,steel,none,Shadow Claw,Close Combat,Trailblaze,fire,fire,rock,863,128.9,114.6,117,80.3,0
grass,dark,Sucker Punch,Trailblaze,Dynamic Punch,poison,dark,poison,332,148.9,83.5,121,72.9,normal,none,Lick,Body Slam,Superpower,fire,fire,rock,143,108.4,101.7,187,76.3,0
fire,dragon,Incinerate,Dragon Pulse,Overheat,poison,dark,poison,776,114.2,153.0,112,78.9,grass,none,Quick Attack,Leaf Blade,Aerial Ace,fire,fire,rock,253,137.4,101.7,117,73.4,0
grass,ice,Powder Snow,Icy Wind,Energy Ball,fire,fire,rock,460,117.9,111.4,143,80.7,grass,flying,Leafage,Brave Bird,Seed Bomb,poison,dark,poison,723,112.3,116.8,152,74.1,1
grass,fighting,Magical Leaf,Aerial Ace,Aura Sphere,poison,dark,poison,724,129.6,106.9,124,65.2,poison,dark,Bite,Crunch,Trailblaze,fire,fire,rock,434,114.3,88.2,147,62.6,0
psychic,none,Psycho Cut,Swift,Play Rough,dark,dark,grass,77,134.8,109.4,113,58.7,fire,none,Incinerate,Crunch,Flamethrower,poison,dark,poison,910,119.8,106.3,146,76.7,1
steel,ghost,Hex,Shadow Ball,Power Gem,dark,dark,grass,1000,135.7,106.2,114,75.0,grass,flying,Air Slash,Leaf Blade,Aerial Ace,poison,dark,poison,357,101.4,127.3,170,81.5,1
fire,rock,Incinerate,Rock Tomb,Overheat,dark,dark,grass,219,110.2,157.9,116,83.4,normal,flying,Air Slash,Sky Attack,Hyper Beam,poison,dark,poison,521,139.2,96.2,120,48.6,1
grass,poison,Poison Jab,Sludge Bomb,Petal Blizzard,dark,dark,grass,315,139.6,107.3,107,54.8,steel,psychic,Confusion,Doom Desire,Dazzling Gleam,poison,dark,poison,385,120.5,119.4,129,74.7,1
fire,flying,Air Slash,Air Cutter,Aerial Ace,dark,dark,grass,741,130.9,101.4,128,65.6,water,ghost,Hex,Surf,Shadow Ball,poison,dark,poison,593,106.7,124.3,157,92.8,1
water,grass,Bubble,Scald,Leaf Storm,poison,dark,poison,272,117.1,123.7,132,70.8,fire,rock,Incinerate,Rock Tomb,Overheat,flying,flying,flying,219,110.2,157.9,116,83.4,0
water,none,Mud Slap,Mud Bomb,Body Slam,flying,flying,flying,422,99.2,100.8,166,68.4,fire,rock,Ember,Rock Slide,Flamethrower,poison,dark,poison,58,131.9,89.9,142,68.2,1
fire,fighting,Ember,Flame Charge,Rock Slide,flying,flying,flying,256,131.0,99.6,131,71.0,poison,dark,Poison Jab,Crunch,Sludge Bomb,poison,dark,poison,88,123.6,86.0,171,76.2,1
fire,psychic,Incinerate,Psyshock,Flame Charge,poison,dark,poison,936,133.6,110.6,114,85.9,grass,none,Vine Whip,Frenzy Plant,Aerial Ace,flying,flying,flying,497,110.2,143.6,128,84.2,0
fighting,none,Karate Chop,Cross Chop,Stone Edge,poison,dark,poison,68,136.4,97.2,124,86.3,water,none,Bubble,Surf,Aerial Ace,flying,flying,flying,657,135.4,99.2,123,67.5,0
grass,none,Magical Leaf,Grass Knot,Seed Flare,poison,dark,poison,492,117.9,122.3,131,64.6,grass,none,Razor Leaf,Grass Knot,Earth Power,flying,flying,flying,812,133.5,97.7,129,66.0,0
psychic,none,Confusion,Shadow Ball,Psychic,flying,flying,flying,678,117.6,124.5,130,58.6,ice,fairy,Powder Snow,Weather Ball (Ice),Dazzling Gleam,poison,dark,poison,38,115.1,133.6,126,84.5,1
normal,grass,Tackle,Wild Charge,Trailblaze,poison,dark,poison,585,109.2,96.6,142,55.7,grass,none,Bullet Seed,Grass Knot,Energy Ball,psychic,ghost,psychic,830,109.1,159.7,118,66.7,0
psychic,none,Confusion,Psyshock,Surf,psychic,ghost,psychic,79,104.2,95.0,186,65.5,grass,dark,Leafage,Night Slash,Frenzy Plant,poison,dark,poison,908,141.6,95.0,118,72.1,1
rock,flying,Wing Attack,Ancient Power,Dragon Claw,poison,dark,poison,567,160.6,81.4,106,64.3,grass,none,Quick Attack,Leaf Blade,Last Resort,psychic,ghost,psychic,470,128.1,133.3,102,73.5,0
normal,none,Bite,Crunch,Hyper Fang,psychic,ghost,psychic,505,126.4,113.2,124,57.2,normal,none,Yawn,Body Slam,Earthquake,poison,dark,poison,289,139.3,83.6,138,20.2,1
fire,none,Fire Spin,Flamethrower,Flame Charge,psychic,ghost,psychic,815,139.0,102.3,113,63.6,bug,rock,Fury Cutter,X-Scissor,Stone Edge,poison,dark,poison,900,144.2,105.1,102,77.1,1
fire,ghost,Incinerate,Shadow Ball,Flame Charge,psychic,ghost,psychic,937,136.9,114.0,105,71.5,bug,flying,Fury Cutter,Aerial Ace,Night Slash,poison,dark,poison,123,134.9,110.7,111,79.5,1
fighting,dark,Sucker Punch,Brick Break,Dynamic Punch,poison,dark,poison,892,136.6,97.8,121,82.4,water,none,Dragon Breath,Hydro Pump,Blizzard,psychic,ghost,psychic,117,132.6,114.5,111,53.8,0
water,none,Lock On,Octazooka,Gunk Shot,dragon,water,ice,224,132.9,103.2,123,56.0,water,flying,Dragon Breath,Aqua Tail,Crunch,poison,dark,poison,130,130.8,108.0,121,79.7,1
fire,none,Incinerate,Flame Charge,Wild Charge,dragon,water,ice,78,134.7,110.9,111,77.9,water,ground,Mud Shot,Mud Bomb,Surf,poison,dark,poison,259,120.3,108.9,142,82.1,1
fighting,none,Bubble,Crabhammer,Power-Up Punch,poison,dark,poison,739,135.7,99.1,122,59.6,bug,poison,Poison Sting,Sludge Bomb,Signal Beam,dragon,water,ice,544,96.6,158.0,113,60.0,0
poison,ground,Poison Sting,Earth Power,Poison Fang,dragon,water,ice,31,117.8,116.5,139,84.9,water,grass,Bubble,Scald,Grass Knot,poison,dark,poison,271,106.7,112.6,142,61.8,1
bug,flying,Infestation,Air Cutter,Silver Wind,poison,ground,poison,267,146.4,81.9,128,59.7,water,none,Shadow Claw,Hydro Cannon,Ice Beam,poison,dark,poison,160,123.3,118.0,124,91.8,1
electric,fighting,Thunder Shock,Brick Break,Wild Charge,poison,dark,poison,923,144.5,94.3,113,79.0,water,none,Shadow Claw,Hydro Cannon,Ice Beam,poison,ground,poison,160,123.3,118.0,124,91.8,0
water,none,Dragon Breath,Hydro Pump,Blizzard,poison,dark,poison,117,132.6,114.5,111,53.8,poison,water,Poison Jab,Brine,Sludge Wave,poison,ground,poison,748,92.3,222.0,118,88.1,0
rock,steel,Spark,Rock Slide,Zap Cannon,poison,ground,poison,476,96.8,200.0,119,73.5,water,none,Bubble,Drill Peck,Icy Wind,poison,dark,poison,393,106.7,98.3,131,56.6,1
steel,ground,Thunder Fang,Psychic Fangs,Breaking Swipe,poison,dark,poison,208,98.4,185.2,124,91.4,fairy,none,Charm,Psychic Fangs,Body Slam,poison,ground,poison,927,113.1,156.9,111,85.3,0
fire,flying,Incinerate,Fly,Brave Bird,poison,dark,poison,663,122.1,114.7,131,85.4,water,ghost,Hex,Night Shade,Ice Beam,poison,ground,poison,592,109.2,125.2,135,78.8,0
water,none,Water Gun,Aqua Tail,Aqua Jet,poison,ground,poison,728,113.4,99.2,127,63.3,bug,poison,Confusion,Sludge Bomb,Silver Wind,poison,dark,poison,269,95.0,148.7,142,64.5,1
fighting,steel,Force Palm,Thunder Punch,Shadow Ball,poison,dark,poison,448,145.8,95.6,110,77.9,ice,rock,Powder Snow,Rock Slide,Icy Wind,water,water,water,713,117.0,134.7,121,76.3,0
water,none,Bubble,Scald,Mud Bomb,poison,dark,poison,61,115.1,114.3,148,73.2,psychic,none,Psycho Cut,Swift,Play Rough,water,water,water,77,134.8,109.4,113,58.7,0
bug,flying,Bug Bite,Aerial Ace,Bug Buzz,water,water,water,414,140.0,83.0,137,65.6,water,ground,Mud Shot,Mud Bomb,Surf,poison,dark,poison,259,120.3,108.9,142,82.1,1
normal,flying,Air Slash,Sky Attack,Hyper Beam,poison,dark,poison,521,139.2,96.2,120,48.6,normal,none,Charm,Aqua Tail,Thunderbolt,water,water,water,573,135.5,95.9,127,62.5,0
