pokemon_winner,pokemon_loser,left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
Sunflora,Sneasel,10,0,11,245,144,10,14,10,192,128.7,102.2,131,60.3,2,12,75,19,104,12,12,2,215,135.5,110.7,110,66.6,0
Articuno (Galarian),Toxapex,15,8,104,101,31,15,8,8,144,134.1,108.3,115,75.9,14,18,97,36,246,14,18,14,748,92.3,222.0,118,88.1,0
Celebi,Eelektross,15,10,89,227,144,10,10,10,251,120.5,119.4,129,61.7,4,0,137,71,273,4,3,4,604,134.4,98.0,127,70.6,1
Politoed,Poliwhirl,18,0,93,292,84,11,18,11,186,114.7,121.7,140,77.6,18,0,7,224,166,18,18,11,61,115.1,114.3,148,73.2,1
Swirlix,Rotom (Wash),5,0,130,86,77,13,10,5,684,104.2,112.6,145,50.5,4,18,134,273,127,4,4,18,479,129.2,143.2,93,64.3,1
Drifloon,Seaking,9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,18,0,97,79,137,14,11,12,119,123.1,105.9,140,75.8,0
Anorith,Marowak,16,1,128,11,9,1,18,16,347,147.0,92.1,113,44.7,11,0,95,28,216,11,11,16,105,110.8,145.0,126,89.5,1
Kingler,Hydreigon,18,0,7,48,296,18,18,1,99,143.9,115.0,93,62.7,2,3,21,38,99,3,2,17,635,136.6,103.5,116,79.9,1
Bruxish,Corsola,18,15,15,13,201,15,18,15,779,137.3,100.4,118,74.4,18,16,7,191,215,18,16,16,222,109.3,141.6,133,72.0,1
Simisear,Politoed,7,0,31,52,97,7,2,7,514,136.6,94.5,126,63.6,18,0,93,292,84,11,18,11,186,114.7,121.7,140,77.6,0
Polteageist,Shelgon,9,0,40,230,55,9,9,2,855,144.5,114.5,94,64.0,3,0,21,97,280,3,7,3,372,123.3,118.4,123,69.9,1
Dragalge,Munna,14,3,1,13,180,14,18,3,691,117.9,139.9,115,88.7,15,0,13,205,58,4,15,5,517,105.9,89.9,166,46.6,1
Grimer (Alolan),Servine,14,2,97,52,245,14,2,14,88,123.6,86.0,171,76.2,10,0,136,111,295,10,10,13,496,107.2,137.4,142,79.4,1
Cetitan,Weezing,12,0,102,19,26,12,12,13,975,120.7,75.9,203,80.6,14,0,114,245,230,16,14,9,110,117.0,138.9,117,71.7,1
Golbat,Cubone,14,8,143,188,230,8,14,9,42,118.7,113.7,140,75.5,11,0,95,28,213,11,11,13,104,88.2,133.6,127,69.8,0
Lickilicky,Seismitoad,13,0,114,26,230,16,13,9,463,106.3,121.1,164,85.1,18,11,93,82,245,11,11,14,537,120.3,101.5,152,70.5,0
Leafeon,Giratina (Origin),10,0,106,143,141,13,10,13,470,128.1,133.3,102,73.5,9,3,119,176,230,9,9,9,487,119.5,103.5,152,81.7,1
Vullaby,Empoleon,2,8,3,31,104,8,8,2,629,100.8,129.4,157,75.8,18,17,91,125,78,17,18,8,395,125.8,115.9,122,80.1,1
Lugia,Exploud,15,8,23,101,5,3,8,8,249,102.4,165.0,129,74.5,13,0,4,52,61,9,2,5,295,119.8,98.4,158,68.3,0
Mr. Rime,Sneasel (Hisuian),12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,6,14,97,47,4,14,6,8,215,135.5,110.7,110,73.5,0
Mightyena,Granbull,2,0,129,52,188,2,2,14,262,125.9,104.3,134,81.3,5,0,14,47,52,5,6,2,210,135.3,87.7,139,74.0,1
Crobat,Decidueye,14,8,3,188,230,8,14,9,169,121.8,115.7,130,68.9,10,9,4,105,250,9,10,9,724,127.8,115.3,118,80.4,0
Greninja,Emboar,18,2,141,125,172,18,18,2,658,139.6,101.6,113,86.3,7,6,25,21,216,7,7,16,500,137.9,79.9,147,68.4,0
Chatot,Braviary (Hisuian),13,8,126,242,171,17,8,9,441,140.4,78.4,145,51.6,15,8,3,31,101,8,8,8,628,128.6,89.1,151,58.5,0
Lileep,Palossand,16,10,1,9,111,14,16,10,345,100.8,138.6,151,80.9,9,11,4,226,230,9,11,9,770,116.6,120.4,136,75.6,0
Meganium,Growlithe,10,0,136,105,84,10,10,11,154,111.5,138.4,130,82.1,7,0,25,26,97,7,13,7,58,126.9,90.8,135,69.6,1
Moltres (Galarian),Swanna,2,8,129,101,31,2,8,8,146,115.1,137.5,122,88.6,18,8,3,101,131,8,8,12,581,129.3,99.7,134,66.9,1
Elekid,Swampert,4,0,134,270,34,4,4,6,239,126.0,97.5,120,69.1,18,11,93,125,244,11,18,14,260,123.0,108.6,136,86.4,0
Octillery,Abomasnow,18,0,86,175,113,13,18,14,224,132.9,103.2,123,56.0,10,12,102,137,86,12,12,10,460,117.9,111.4,143,80.7,0
Zygarde (50% Forme),Garchomp,3,11,23,52,84,3,2,11,718,114.1,128.3,133,75.6,3,11,23,223,180,3,11,3,445,132.5,102.5,124,67.0,0
Granbull,Darumaka,5,0,14,47,52,5,6,2,210,135.3,87.7,139,74.0,7,0,30,92,95,7,7,7,554,132.0,83.5,154,71.2,0
Tinkaton,Toxapex,5,17,28,187,43,5,5,11,959,107.3,136.3,143,88.3,14,18,97,36,246,14,18,14,748,92.3,222.0,118,88.1,1
Metang,Castform,17,15,36,205,213,1,15,13,375,108.9,145.5,129,88.3,13,0,40,291,86,9,16,10,351,113.4,119.6,146,80.6,0
Cofagrigus,Larvesta,9,0,119,230,55,9,9,2,563,112.2,168.3,106,81.4,1,7,25,95,41,7,7,1,636,131.7,99.2,130,66.7,0
Klefki,Breloom,17,5,4,104,187,9,2,5,707,119.0,134.2,118,83.7,10,6,32,81,111,6,6,10,286,150.6,97.3,101,66.4,1
Rhyhorn,Dugtrio,11,16,95,43,251,11,11,13,111,113.4,110.2,158,72.8,11,0,95,166,253,11,11,16,51,136.4,120.5,99,76.4,1
Togetic,Claydol,5,8,28,205,58,5,15,5,176,110.6,150.0,122,88.0,11,15,95,218,131,11,16,12,344,102.7,173.3,121,88.4,1
Aromatisse,Ferrothorn,5,0,14,164,273,5,5,4,683,116.5,108.0,153,77.8,10,17,11,192,267,10,10,4,598,107.3,155.1,125,81.0,0
Sneasel (Hisuian),Feraligatr,6,14,97,47,4,14,6,8,215,135.5,110.7,110,73.5,18,0,119,125,131,9,18,12,160,123.3,118.0,124,91.8,1
Crabominable,Suicune,6,12,7,133,34,18,12,6,740,136.8,87.9,135,60.5,18,0,74,40,224,12,18,18,245,107.4,141.9,137,81.1,0
Simipour,Greedent,18,0,139,260,52,18,18,2,516,136.6,94.5,126,61.7,13,0,93,26,276,11,13,10,820,107.5,110.7,175,80.6,0
Regieleki,Cetoddle,4,0,137,268,128,4,4,13,894,152.3,82.4,117,70.1,12,0,102,19,26,12,12,13,974,112.6,79.8,213,81.3,0
Hariyama,Oricorio (Sensu),6,0,32,282,117,6,6,17,297,125.6,75.5,186,79.9,9,8,3,7,4,8,8,8,741,130.9,101.4,128,66.4,1
Raticate (Alolan),Bellossom,2,13,106,52,213,13,2,13,20,107.5,130.7,148,78.8,10,0,1,143,58,14,10,5,182,115.7,132.9,126,83.3,0
Scizor,Sandslash,1,17,10,172,276,17,2,10,212,137.9,110.3,106,87.2,11,0,116,218,172,11,16,2,28,120.5,121.1,126,81.5,0
Amoonguss,Mienshao,10,14,4,111,104,9,10,2,591,110.4,102.0,181,83.9,6,0,32,34,38,6,6,2,620,156.5,84.8,106,75.8,1
Krookodile,Ariados,11,2,95,52,84,11,2,11,553,133.9,94.8,132,72.9,1,14,99,148,276,14,1,10,168,124.7,102.0,141,79.9,1
Bergmite,Azelf,12,0,130,137,52,13,12,2,712,110.9,113.4,135,55.8,15,0,15,262,109,15,13,15,482,152.6,91.4,105,56.6,1
Ambipom,Pignite,13,0,4,4,213,9,8,13,424,133.9,99.9,124,64.1,7,6,25,218,95,7,16,7,499,128.4,84.2,161,71.8,0
Politoed,Goodra,18,0,93,292,84,11,18,11,186,114.7,121.7,140,77.6,3,0,21,13,270,3,18,4,706,119.7,136.8,114,85.5,0
Exploud,Venomoth,13,0,4,52,61,9,2,5,295,119.8,98.4,158,68.3,1,14,105,188,41,15,14,1,49,128.2,104.4,131,79.9,0
Ursaluna,Mawile,11,13,130,262,118,13,13,11,901,126.2,97.2,145,67.5,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,0
Gourgeist (Small),Decidueye,9,10,40,230,227,9,9,10,711,117.0,153.4,106,79.8,10,9,4,105,250,9,10,9,724,127.8,115.3,118,80.4,0
Rotom (Wash),Donphan,4,18,134,273,127,4,4,18,479,129.2,143.2,93,64.3,11,0,95,276,26,11,10,13,232,125.8,112.0,126,83.6,0
Crustle,Weavile,1,16,36,296,216,1,1,16,558,120.9,134.1,114,81.9,2,12,123,19,104,2,12,2,461,143.1,103.4,106,65.8,1
Bouffalant,Quaxwell,13,0,93,251,154,11,13,1,626,118.9,115.9,136,68.8,18,0,139,11,4,18,18,8,913,124.7,103.1,139,70.9,0
Farfetch'd,Whimsicott,13,8,36,143,4,1,10,8,83,116.8,109.2,131,83.5,10,5,28,227,164,5,10,5,547,118.4,133.1,119,81.3,1
Rhyperior,Starmie,11,16,95,32,220,11,3,16,464,126.8,105.5,132,77.9,18,15,105,260,191,15,18,16,121,132.2,121.8,104,79.7,1
Dragapult,Weezing (Galarian),3,9,4,32,230,9,3,9,887,143.6,97.3,112,81.2,14,5,28,244,38,5,14,2,110,118.4,138.9,115,87.7,0
Pangoro,Nidoking,6,2,81,47,172,6,6,2,675,134.5,92.0,134,89.5,14,11,36,223,82,1,11,11,34,130.1,104.1,127,71.7,0
Raichu,Gallade,4,0,134,293,276,4,4,10,26,133.6,110.6,113,85.7,15,6,104,47,143,15,6,10,475,137.2,114.5,104,81.6,1
Meowstic (Male),Tranquill,15,0,129,200,273,2,15,4,678,117.6,124.5,130,62.4,13,8,3,4,213,8,8,13,520,124.0,101.4,143,62.4,0
Wailord,Oricorio (Sensu),18,0,114,260,213,16,18,13,321,119.6,66.8,235,80.8,9,8,3,7,4,8,8,8,741,130.9,101.4,128,66.4,1
Decidueye (Hisuian),Lurantis,10,6,89,4,15,10,8,6,724,129.6,106.9,124,65.2,10,0,36,143,258,1,10,6,754,126.9,114.6,121,86.5,0
Armaldo,Gourgeist (Average),16,1,36,215,146,1,16,18,348,133.3,110.9,113,76.8,9,10,40,230,227,9,9,10,711,116.6,147.0,112,80.6,1
Sableye,Corsola,2,9,119,104,191,9,2,16,302,121.0,123.5,124,88.9,18,16,7,191,215,18,16,16,222,109.3,141.6,133,72.0,1
Qwilfish,Castform (Sunny),18,14,99,13,131,14,18,12,211,130.5,105.5,123,84.7,7,0,25,287,248,7,7,10,351,113.4,119.6,146,82.5,1
Aggron,Pancham,17,16,92,218,267,17,16,4,306,116.1,154.0,107,80.8,6,0,130,26,52,13,13,2,674,123.3,100.2,147,57.9,1
Trevenant,Ursaluna,9,10,119,227,230,9,10,9,709,127.8,104.6,131,81.0,11,13,130,262,118,13,13,11,901,126.2,97.2,145,67.5,1
Clawitzer,Grotle,18,0,139,48,131,18,18,12,693,134.4,110.5,111,55.7,10,0,108,26,86,10,13,10,388,118.3,116.1,138,67.8,0
Walrein,Walrein,12,18,102,135,84,12,12,11,365,113.1,114.3,153,83.6,12,18,102,135,84,12,12,11,365,113.1,114.3,153,83.6,1
Ponyta,Greedent,7,0,25,95,251,7,7,13,77,134.8,109.4,113,71.1,13,0,93,26,276,11,13,10,820,107.5,110.7,175,80.6,0
Cubone,Cherrim (Overcast),11,0,95,28,213,11,11,13,104,88.2,133.6,127,69.8,10,0,11,58,248,10,5,10,421,122.9,115.2,129,53.0,0
Golurk,Teddiursa,11,9,95,235,81,11,9,6,623,133.9,96.7,129,87.3,13,0,84,262,49,9,13,6,216,130.2,90.8,142,65.0,1
Passimian,Mr. Rime,6,0,16,38,34,6,2,6,766,129.9,100.5,132,76.3,12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,0
Grimer (Alolan),Politoed,14,2,97,52,245,14,2,14,88,123.6,86.0,171,76.2,18,0,93,292,84,11,18,11,186,114.7,121.7,140,77.6,1
Wartortle,Lokix,18,0,139,11,131,18,18,12,8,107.9,137.8,139,80.6,1,2,129,296,276,2,1,10,920,132.9,104.1,121,80.5,1
Swoobat,Aipom,15,8,15,101,201,15,8,15,528,126.9,100.9,138,73.1,13,0,4,262,4,9,13,8,190,126.1,105.2,134,73.6,0
Emolga,Cryogonal,4,8,134,2,62,4,8,4,587,127.9,111.4,123,89.3,12,0,75,279,172,12,12,2,615,116.5,136.2,121,73.3,0
Suicune,Linoone,18,0,74,40,224,12,18,18,245,107.4,141.9,137,81.1,13,0,119,262,111,9,13,10,264,114.6,112.2,152,86.0,0
Bulbasaur,Azumarill,10,14,136,192,245,10,10,14,1,111.8,105.9,120,58.7,18,5,7,131,187,18,12,5,184,93.7,134.1,190,88.9,1
Armarouge,Tentacruel,7,15,77,205,95,7,15,7,936,133.6,110.6,114,85.9,18,14,1,224,246,14,18,14,73,110.1,139.9,132,86.0,0
Geodude,Shaymin (Sky),16,11,112,218,216,16,16,16,74,123.5,123.5,113,66.0,10,8,89,111,86,10,10,10,492,138.1,93.6,124,55.7,1
Lilligant,Probopass,10,0,14,186,128,5,10,13,549,135.0,105.3,115,59.1,16,17,124,216,297,4,16,4,476,96.8,200.0,119,73.5,1
Kecleon,Crawdaunt,13,0,129,4,131,2,8,12,352,115.6,142.2,117,75.9,18,2,123,172,224,2,2,18,342,144.5,96.9,110,71.1,1
Lickitung,Seismitoad,13,0,84,26,192,9,13,10,108,98.3,126.9,183,86.8,18,11,93,82,245,11,11,14,537,120.3,101.5,152,70.5,1
Rampardos,Roselia,16,0,121,216,97,16,16,7,409,164.6,66.3,125,56.1,10,14,97,245,186,14,14,10,315,139.6,107.3,107,54.8,0
Pidgeot,Araquanid,13,8,38,7,31,8,8,8,18,117.2,113.8,143,79.0,18,1,8,285,40,1,18,18,752,97.9,176.1,133,88.6,1
Kabuto,Maushold,16,18,93,11,218,11,18,16,140,133.6,128.6,97,73.3,13,0,93,262,52,11,13,2,925,117.3,123.7,132,71.7,0
Tyrunt,Qwilfish (Hisuian),16,3,23,71,9,3,3,16,696,127.6,106.3,129,75.9,2,14,99,13,230,14,18,9,211,129.5,111.3,120,82.3,1
Castform (Rainy),Grimer,18,0,139,292,267,18,18,4,351,113.4,119.6,146,81.7,14,0,97,244,166,14,14,11,88,121.5,88.0,171,78.8,0
Morpeko (Full Belly),Deerling,4,2,134,17,201,4,2,15,877,141.7,97.8,114,90.1,13,10,130,293,276,13,4,10,585,109.2,96.6,142,55.7,1
Munna,Durant,15,0,13,205,58,4,15,5,517,105.9,89.9,166,46.6,1,17,8,296,253,1,1,16,632,135.9,121.2,100,72.8,0
Beartic,Palpitoad,12,0,102,133,146,12,12,18,614,134.9,94.6,129,69.6,18,11,93,82,285,11,11,18,536,116.6,101.6,162,72.4,0
Gardevoir,Vivillon,15,5,14,279,230,5,12,9,282,137.2,114.5,104,70.5,1,8,38,4,41,8,8,1,666,133.0,84.5,150,63.4,0
Meltan,Dartrix,17,0,134,273,99,4,4,17,808,111.8,95.8,121,51.0,10,8,83,31,227,10,8,10,723,112.3,116.8,152,74.1,1
Crobat,Garchomp,14,8,3,188,230,8,14,9,169,121.8,115.7,130,68.9,3,11,23,223,180,3,11,3,445,132.5,102.5,124,67.0,1
Mawile,Rillaboom,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,10,0,108,111,82,10,10,11,812,133.5,97.7,129,66.0,1
Empoleon,Rotom (Mow),18,17,91,125,78,17,18,8,395,125.8,115.9,122,80.1,4,10,134,273,176,4,4,9,479,129.2,143.2,93,61.6,0
Mew,Golem,15,0,119,293,205,9,4,15,151,120.5,119.4,129,83.1,16,11,95,253,215,11,16,16,76,125.2,121.7,117,74.4,1
Spoink,Vileplume,15,0,147,230,213,15,9,13,325,117.6,115.1,140,40.1,10,14,1,245,186,14,14,10,45,129.1,110.9,121,68.8,0
Eelektross,Beautifly,4,0,137,71,273,4,3,4,604,134.4,98.0,127,70.6,1,8,79,7,240,1,8,1,267,146.4,81.9,128,59.7,1
Turtwig,Leavanny,10,0,130,26,227,13,13,10,387,112.6,105.0,135,52.3,1,10,119,143,296,9,10,1,542,131.0,109.0,120,80.5,1
Machamp,Skiddo,6,0,81,49,253,6,6,16,68,136.4,97.2,124,86.3,10,0,110,216,227,6,16,10,672,116.0,98.3,151,41.0,1
Chatot,Thievul,13,8,126,242,171,17,8,9,441,140.4,78.4,145,51.6,2,0,129,172,187,2,2,5,828,121.7,123.1,123,84.6,0
Hoopa,Espeon,15,9,4,230,200,9,9,15,720,144.8,106.3,99,56.8,15,0,15,201,230,15,15,9,196,147.6,104.1,98,63.1,1
Braviary,Samurott,13,8,3,101,47,8,8,6,628,134.3,94.1,132,63.8,18,0,36,125,154,1,18,1,503,129.0,102.2,132,92.3,0
Mawile,Ursaluna,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,11,13,130,262,118,13,13,11,901,126.2,97.2,145,67.5,0
Torterra,Kabuto,10,11,108,105,253,10,10,16,389,120.5,117.6,131,66.8,16,18,93,11,218,11,18,16,140,133.6,128.6,97,73.3,0
Togetic,Slowking (Galarian),5,8,28,205,58,5,15,5,176,110.6,150.0,122,88.0,14,15,1,260,230,14,18,9,199,117.9,115.5,139,76.2,1
Vikavolt,Pawniard,1,4,137,296,101,4,1,8,738,146.4,94.4,111,71.2,2,17,36,172,296,1,2,1,624,132.0,107.8,118,80.5,1
Slowking,Klefki,18,15,139,260,200,18,18,15,199,113.4,120.9,143,67.2,17,5,4,104,187,9,2,5,707,119.0,134.2,118,83.7,1
Snubbull,Corviknight,5,0,130,52,58,13,2,5,209,127.7,84.0,142,48.0,8,17,116,242,139,11,8,17,823,107.6,128.1,151,91.6,1
Emboar,Pineco,7,6,25,21,216,7,7,16,500,137.9,79.9,147,68.4,1,0,8,218,213,1,16,13,204,103.4,115.1,127,61.7,0
Gumshoos,Lapras,13,0,5,218,52,2,16,2,735,134.9,85.7,144,58.0,18,12,105,249,131,15,18,12,131,104.7,114.0,179,93.0,0
Hatterene,Crocalor,15,5,14,205,192,5,15,10,858,144.0,116.5,93,69.9,7,0,77,52,97,7,2,7,910,119.8,106.3,146,76.7,1
Chinchou,Duosion,18,4,7,273,285,18,4,18,170,101.7,94.1,164,60.3,15,0,65,205,171,15,15,9,578,149.2,82.7,121,46.4,0
Grumpig,Leavanny,15,0,105,81,230,15,6,9,326,114.5,128.3,133,88.9,1,10,119,143,296,9,10,1,542,131.0,109.0,120,80.5,1
Bruxish,Magnezone,18,15,15,13,201,15,18,15,779,137.3,100.4,118,74.4,4,17,137,293,161,4,4,17,462,134.9,120.1,102,83.4,1
Goldeen,Lairon,18,0,93,13,122,11,18,13,118,116.0,105.0,120,57.1,17,16,92,218,26,17,16,13,305,114.5,142.8,120,84.9,1
Moltres,Dewgong,7,8,31,242,9,7,8,16,146,136.3,102.6,117,68.6,18,12,75,137,79,12,12,11,87,102.9,133.8,158,83.8,0
Turtwig,Eldegoss,10,0,130,26,227,13,13,10,387,112.6,105.0,135,52.3,10,0,11,111,86,10,10,10,830,109.1,159.7,118,66.7,1
Stunfisk (Galarian),Machop,11,17,93,216,84,11,16,11,618,101.8,127.9,169,85.3,6,0,81,49,213,6,6,13,66,127.7,81.5,157,78.5,0
Lapras,Tauros,18,12,105,249,131,15,18,12,131,104.7,114.0,179,93.0,13,0,130,276,122,13,10,13,128,125.1,118.9,120,66.4,0
Meowstic (Male),Wugtrio,15,0,129,200,273,2,15,4,678,117.6,124.5,130,62.4,18,0,95,146,260,11,18,18,961,151.8,107.2,90,61.0,0
Vaporeon,Linoone (Galarian),18,0,139,13,141,18,18,13,134,119.0,97.2,163,77.3,2,13,123,26,60,2,13,11,264,114.6,112.2,152,68.9,1
Skarmory,Gothorita,17,8,126,31,242,17,8,8,227,106.2,163.1,122,82.9,15,0,15,109,200,15,15,15,575,112.5,130.8,135,60.3,1
Kingdra,Komala,18,3,21,180,175,3,3,18,230,121.8,126.1,119,70.3,13,0,114,184,43,16,2,11,775,137.1,110.2,108,57.7,1
Elgyem,Castform (Rainy),15,0,15,55,200,15,2,15,605,134.0,94.7,132,54.6,18,0,139,292,267,18,18,4,351,113.4,119.6,146,81.7,0
Wormadam (Sandy),Tirtouga,1,11,8,41,43,1,1,11,413,109.9,146.8,126,72.8,18,16,139,260,9,18,18,16,564,113.9,132.0,130,67.2,0
Lapras,Zygarde (50% Forme),18,12,105,249,131,15,18,12,131,104.7,114.0,179,93.0,3,11,23,52,84,3,2,11,718,114.1,128.3,133,75.6,1
Swampert,Deoxys (Speed),18,11,93,125,244,11,18,14,260,123.0,108.6,136,86.4,15,0,13,204,262,4,15,13,386,140.8,131.6,86,47.8,1
Anorith,Tauros (Blaze),16,1,128,11,9,1,18,16,347,147.0,92.1,113,44.7,6,7,20,95,276,6,7,10,128,127.8,123.1,111,72.9,0
