Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Golisopod,"['Water', 'Electric']","['Ground', 'Steel', 'Fairy']","{'Shadow Claw': 2, 'Hex': 4, 'Spark': 4}","{'Mud Shot': 3, 'Fairy Wind': 2}","{'Hydro Cannon*': 2, 'Ice Beam': 2, 'Shadow Ball': 4, 'Seed Bomb': 4, 'Crunch': 4, 'Thunder': 4}","{'Rock Slide': 3, 'Earthquake': 3, 'Moonblast': 2, 'Trailblaze': 2}"
Feraligatr,"['Fire', 'Rock']","['Bug', 'Water']",{'Fire Fang': 3},{'Fury Cutter': 2},"{'Wild Charge': 3, 'Rock Slide': 3}","{'X-Scissor': 2, 'Aqua Jet': 2}"
Mandibuzz,"['Flying', 'Steel', 'Rock', 'Flying']","['Fairy']","{'Sand Attack': 1, 'Rock Throw': 1}","{'Poison Sting': 4, 'Vine Whip': 4}","{'Sky Attack': 1, 'Iron Head*': 1, 'Rock Slide': 1, 'Earth Power': 1}","{'Aqua Tail': 4, 'Shadow Ball': 4, 'Dazzling Gleam': 4, 'Psychic': 4}"
Corviknight,"['Bug', 'Grass']","['Dark', 'Flying', 'Dark', 'Dragon']",{'Shadow Claw*': 2},"{'Snarl': 1, 'Dragon Breath': 3}","{'Leaf Blade': 2, 'X-Scissor': 2}","{'Dark Pulse': 3, 'Aerial Ace': 1, 'Body Slam': 3}"
Gastrodon,"['Steel', 'Ground', 'Bug', 'Poison', 'Steel', 'Fairy']",[],"{'Thunder Fang': 3, 'Confusion': 3, 'Fairy Wind': 3}",{'Confusion': 2},"{'Psychic Fangs': 3, 'Breaking Swipe': 3, 'Sludge Bomb': 3, 'Silver Wind': 3, 'Iron Head': 3, 'Play Rough': 3}","{'Fly': 2, 'Psychic Fangs': 2}"
Steelix,['Normal'],"['Water', 'Ground', 'Fighting']",{'Shadow Claw': 3},"{'Mud Slap': 3, 'Dragon Tail': 4, 'Force Palm': 3}","{'Swift': 3, 'Close Combat': 3}","{'Body Slam': 3, 'Earth Power': 3, 'Surf': 4, 'Wrap': 4, 'Brick Break': 3, 'Brutal Swing': 3}"
Dusknoir,"['Ground', 'Electric']","['Rock', 'Water', 'Grass', 'Flying']",{'Thunder Shock': 1},"{'Mud Shot': 2, 'Air Slash': 4}","{'Mud Bomb': 1, 'Discharge': 1}","{'Aqua Jet': 2, 'Rock Tomb': 2, 'Leaf Blade': 4, 'Aerial Ace': 4}"
Stunfisk,[],['Ghost'],{},{'Astonish': 1},{},"{'Dynamic Punch': 1, 'Shadow Punch': 1}"
Dedenne,"['Rock', 'Fairy', 'Poison', 'Ground', 'Dragon']","['Ground', 'Ghost']","{'Rock Throw': 3, 'Poison Jab': 3, 'Mud Slap': 3, 'Dragon Tail': 3}",{'Shadow Claw': 3},"{'Power Gem': 3, 'Moonblast': 3, 'Sludge Bomb': 3, 'Fell Stinger': 3, 'Trailblaze': 3, 'Body Slam': 3, 'Dragon Claw': 3, 'Aqua Tail': 3}","{'Rock Tomb': 3, 'Shadow Ball': 3}"
Carbink,['Rock'],"['Electric', 'Fairy', 'Bug', 'Rock']",{'Mud Slap': 2},"{'Thunder Shock': 3, 'Fury Cutter': 4}","{'Rock Slide': 2, 'Bulldoze': 2}","{'Parabolic Charge': 3, 'Play Rough': 3, 'X-Scissor': 4, 'Stone Edge': 4}"
Togedemaru,"['Electric', 'Dark', 'Poison', 'Fire', 'Psychic']",[],"{'Thunder Shock': 3, 'Incinerate': 3, 'Charge Beam': 3}",{},"{'Aura Wheel': 3, 'Psychic Fangs': 3, 'Poison Fang': 3, 'Dragon Pulse': 3, 'Psyshock': 3, 'Dazzling Gleam': 3}",{}
Morpeko (Full Belly),[],"['Electric', 'Steel', 'Dragon', 'Ghost', 'Fighting']",{'Bullet Seed': 4},"{'Thunder Shock': 3, 'Astonish': 3, 'Counter': 3}","{'Seed Bomb': 4, 'Psychic': 4}","{'Fell Stinger': 3, 'Wild Charge': 3, 'Breaking Swipe': 3, 'Shadow Ball': 3, 'Ice Punch': 3, 'Thunder Punch': 3}"
Cradily,"['Ground', 'Dragon', 'Ground']",[],"{'Mud Slap': 3, 'Mud Shot': 2}",{'Dragon Tail': 4},"{'Bone Club': 3, 'Rock Slide': 3, 'Dig': 2, 'Flamethrower': 2}","{'Crunch': 4, 'Earthquake': 4}"
Marowak,"['Fighting', 'Normal', 'Flying']","['Rock', 'Grass']","{'Karate Chop*': 3, 'Steel Wing': 2}","{'Acid': 3, 'Ember': 4}","{'Cross Chop': 3, 'Stone Edge*': 3, 'Fly': 2, 'Drill Run': 2}","{'Rock Tomb': 3, 'Grass Knot': 3, 'Blast Burn*': 4, 'Rock Slide': 4}"
Primeape,"['Normal', 'Psychic', 'Fire', 'Ghost', 'Steel']",[],"{'Sucker Punch': 2, 'Confusion': 2, 'Incinerate': 2, 'Shadow Claw': 2}",{},"{'Swift': 2, 'Trailblaze': 2, 'Dark Pulse': 4, 'Psychic': 4, 'Psyshock': 2, 'Dazzling Gleam': 2, 'Torch Song': 2, 'Shadow Ball': 2, 'Close Combat': 2}",{}
Furret,"['Bug', 'Flying', 'Fighting', 'Ice']","['Fighting', 'Fire', 'Water']","{'Air Slash': 3, 'Bubble': 3}","{'Karate Chop*': 2, 'Incinerate': 2}","{'Air Cutter': 3, 'Lunge': 3, 'Ice Punch': 3, 'Brick Break': 3}","{'Rage Fist*': 2, 'Close Combat': 2, 'Sludge Bomb': 2, 'Overheat': 2}"
Pangoro,"['Rock', 'Steel', 'Poison', 'Fairy']",[],"{'Smack Down': 3, 'Fairy Wind': 1}",{},"{'Stone Edge': 3, 'Flamethrower': 3, 'Sludge': 1, 'Brutal Swing': 1}",{}
Bastiodon,"['Normal', 'Psychic']","['Fighting', 'Dark', 'Poison', 'Fighting']",{'Confusion': 1},"{'Karate Chop': 3, 'Poison Sting': 3}","{'Psychic Fangs': 1, 'Trailblaze': 1}","{'Close Combat': 3, 'Night Slash': 3, 'Dynamic Punch': 3, 'Shadow Ball': 3}"
Runerigus,"['Electric', 'Flying', 'Bug', 'Steel', 'Electric', 'Fairy']","['Water', 'Dark', 'Water', 'Dark', 'Water', 'Ice', 'Water']","{'Thunder Shock': 3, 'Bug Bite': 3, 'Sand Attack': 4}","{'Water Shuriken': 2, 'Waterfall': 1, 'Ice Shard*': 3, 'Water Gun': 3}","{'Acrobatics': 3, 'Discharge': 3, 'Drill Run': 3, 'Razor Shell*': 3, 'Sky Attack': 4, 'Payback': 4, 'Parabolic Charge': 3, 'Play Rough': 3}","{'Hydro Cannon*': 2, 'Night Slash': 2, 'Crunch': 1, 'Poison Fang': 1, 'Icy Wind*': 3, 'Drill Run': 3, 'Body Slam': 3, 'Water Pulse': 3}"
Emolga,['Psychic'],"['Ground', 'Ghost']",{'Confusion': 3},{'Shadow Claw': 3},"{'Shadow Ball': 3, 'Thunder Punch': 3}","{'Rock Tomb': 3, 'Shadow Ball': 3}"
Grumpig,"['Water', 'Fairy', 'Poison', 'Dark', 'Ice', 'Water']",[],"{'Bubble': 4, 'Bite': 3, 'Powder Snow*': 2}",{},"{'Ice Beam': 4, 'Play Rough': 4, 'Crunch': 3, 'Trailblaze': 3, 'Icicle Spear*': 2, 'Earthquake': 2}",{}
Azumarill,"['Rock', 'Water', 'Normal', 'Flying', 'Electric', 'Steel']","['Psychic', 'Water']","{'Fury Cutter*': 1, 'Bullet Seed': 2, 'Thunder Shock': 2}","{'Psywave': 4, 'Water Gun': 4}","{'Stone Edge': 1, 'Ancient Power': 1, 'Drill Peck': 2, 'Rock Blast': 2, 'Discharge': 2, 'Magnet Bomb': 2}","{'Dynamic Punch': 4, 'Shadow Ball': 4, 'Cross Chop': 4, 'Liquidation': 4}"
Sableye,"['Water', 'Ground', 'Water', 'Rock', 'Flying']","['Normal', 'Normal', 'Psychic']","{'Mud Shot': 2, 'Water Gun': 2, 'Wing Attack': 3}","{'Sand Attack': 3, 'Confusion': 1}","{'Aqua Tail*': 2, 'Stone Edge': 2, 'Ice Punch': 2, 'Crunch': 2, 'Ancient Power': 3, 'Dragon Claw': 3}","{'Wild Charge': 1, 'Crunch': 3, 'Stomp': 1}"
Quagsire,"['Rock', 'Bug', 'Poison', 'Fire', 'Fighting', 'Fighting', 'Fire']","['Dark', 'Ghost', 'Ground']","{'Sucker Punch': 3, 'Poison Sting': 2, 'Ember': 4, 'Double Kick': 3}","{'Shadow Claw': 2, 'Sand Attack': 2}","{'Stone Edge': 3, 'Trailblaze': 3, 'Lunge': 2, 'Rock Tomb': 4, 'Flame Charge': 3}","{'Foul Play': 2, 'Power Gem': 2, 'Rock Tomb*': 2, 'Dig': 2}"
Dragalge,"['Electric', 'Water', 'Dark']","['Grass', 'Ghost', 'Bug', 'Flying']","{'Sucker Punch': 2, 'Fury Cutter': 4, 'Charm': 4}","{'Astonish': 2, 'Bug Bite': 1}","{'Zap Cannon': 2, 'Parabolic Charge': 2, 'Dark Pulse': 4, 'Icy Wind': 4, 'Disarming Voice': 4, 'Hydro Cannon*': 4}","{'Frenzy Plant*': 2, 'Spirit Shackle': 2, 'Aerial Ace': 1, 'Bug Buzz': 1}"
Bellibolt,"['Bug', 'Steel', 'Grass', 'Steel', 'Electric']","['Poison', 'Dragon', 'Rock', 'Ice']","{'Bug Bite': 2, 'Metal Claw': 3, 'Volt Switch*': 3}","{'Acid': 2, 'Rollout*': 4, 'Powder Snow': 3}","{'Sand Tomb': 2, 'Rock Tomb': 2, 'Iron Head': 3, 'Return': 3, 'Dragon Claw': 3, 'Thunderbolt': 3}","{'Aqua Tail': 2, 'Outrage': 2, 'Wild Charge': 4, 'Rock Blast': 4, 'Weather Ball (Ice)': 3, 'Thunderbolt': 3}"
Araquanid,"['Dark', 'Psychic']",['Ghost'],{'Psywave': 2},{'Astonish': 3},"{'Superpower': 2, 'Foul Play': 2}","{'Night Shade': 3, 'Power Gem': 3}"
Malamar,[],"['Water', 'Bug']",{},"{'Bug Bite': 2, 'Fire Spin': 4, 'Thunder Shock': 4}",{},"{'Water Pulse': 2, 'Bubble Beam': 2, 'Close Combat': 4, 'Blast Burn*': 4, 'Discharge': 4, 'Magnet Bomb': 4}"
Claydol,"['Steel', 'Psychic', 'Psychic', 'Fighting']",[],"{'Fury Cutter': 3, 'Psycho Cut': 2}",{'Ember': 4},"{'Psyshock': 3, 'Return: 3, 'Close Combat': 2, 'Leaf Blade': 2}","{'Superpower*': 4, 'Flamethrower': 4}"
Metang,[],"['Ground', 'Psychic', 'Ghost', 'Poison']",{},"{'Mud Slap': 3, 'Water Gun': 4, 'Confusion': 4, 'Shadow Claw': 2}",{},"{'Rock Tomb': 3, 'Ice Beam': 3, 'Muddy Water': 4, 'Dragon Pulse': 4, 'Shadow Ball': 4, 'Psychic': 4, 'Shadow Punch': 2, 'Ice Punch': 2}"
Tinkaton,"['Dark', 'Flying', 'Dragon', 'Psychic']","['Steel', 'Poison']","{'Sucker Punch': 3, 'Dragon Breath': 2}",{'Metal Sound': 3},"{'Fly': 3, 'Brave Bird': 3, 'Dragon Claw': 2, 'Luster Purge*': 2}","{'Overheat': 3, 'Gyro Ball': 3}"
Moltres (Galarian),"['Dark', 'Steel', 'Ice', 'Ghost', 'Water']","['Fairy', 'Steel']","{'Snarl': 2, 'Hex': 3, 'Poison Jab*': 3, 'Water Gun': 4}",{'Fairy Wind': 3},"{'Dark Pulse': 2, 'X-Scissor': 2, 'Avalanche': 3, 'Shadow Ball': 3, 'Drill Run*': 3, 'Icy Wind*': 3, 'Ice Punch': 4, 'Crunch': 4}","{'Play Rough': 3, 'Bulldoze': 3}"
Aurorus,"['Poison', 'Water']",[],{'Poison Jab': 3},{'Powder Snow': 4},"{'Brine': 3, 'Sludge Wave': 3}","{'Avalanche': 4, 'Body Slam': 4}"
Toxapex,"['Electric', 'Ice', 'Rock', 'Fairy', 'Flying']","['Rock', 'Ice']","{'Thunder Shock': 2, 'Rock Throw': 2, 'Charm': 1}",{'Powder Snow': 3},"{'Thunderbolt': 2, 'Blizzard': 2, 'Rock Tomb': 2, 'Rock Slide': 2, 'Psyshock': 1, 'Aura Sphere*': 1}","{'Weather Ball (Ice)': 3, 'Meteor Beam': 3}"
Weezing (Galarian),"['Fairy', 'Flying', 'Fire', 'Electric', 'Psychic']","['Flying']","{'Fairy Wind': 3, 'Incinerate': 3, 'Thunder Shock': 2}","{'Air Slash': 2, 'Confusion': 2}","{'Psyshock': 3, 'Dazzling Gleam': 3, 'Crunch': 3, 'Flamethrower': 3, 'Wild Charge': 2, 'Trailblaze': 2}","{'Grass Knot': 2, 'Hurricane': 2, 'Rock Slide': 2, 'Dark Pulse': 2}"
Togetic,"['Bug', 'Flying']","['Poison', 'Fairy', 'Dark', 'Fire', 'Normal', 'Flying']",{'Bug Bite': 3},"{'Fairy Wind': 3, 'Fire Fang': 2, 'Air Slash': 2}","{'Dynamic Punch': 3, 'Aerial Ace': 3}","{'Sludge': 3, 'Brutal Swing': 3, 'Foul Play': 2, 'Flamethrower': 2, 'Sky Attack': 2, 'Hyper Beam': 2}"
Drifblim,['Dragon'],"['Fire', 'Dragon']",{'Dragon Breath*': 3},{'Incinerate': 4},"{'Dragon Energy*': 3, 'Breaking Swipe': 3}","{'Dragon Pulse': 4, 'Overheat': 4}"
Regidrago,[],"['Ghost', 'Flying', 'Normal', 'Psychic']",{},"{'Hex': 3, 'Tackle': 4, 'Confusion': 3}",{},"{'Icy Wind': 3, 'Shadow Ball': 3, 'Body Slam': 4, 'Trailblaze': 4, 'Swift': 3, 'Future Sight': 3}"
Golurk,"['Steel', 'Normal', 'Flying']",[],"{'Thunder Shock': 2, 'Wing Attack': 2}",{'Thunder Shock': 4},"{'Double Iron Bash*': 2, 'Superpower': 2, 'Sky Attack': 2, 'Night Shade': 2}","{'Wild Charge': 4, 'Swift': 4}"
Melmetal,"['Ground', 'Dark']","['Ground', 'Ghost']",{'Mud Slap': 3},"{'Mud Slap': 2, 'Psywave': 4}","{'Crunch': 3, 'Earthquake': 3}","{'Shadow Punch': 2, 'Dynamic Punch': 2, 'Sparkling Aria': 4, 'Ice Beam*': 4}"
Marowak (Alolan),"['Grass', 'Flying', 'Electric', 'Steel', 'Rock']",[],"{'Fairy Wind': 4, 'Quick Attack': 2, 'Metal Sound': 2}",{},"{'Aerial Ace': 4, 'Energy Ball': 4, 'Thunderbolt': 2, 'Grass Knot': 2, 'Rock Tomb': 2, 'Body Slam': 2}",{}
Jumpluff,"['Grass', 'Poison']","['Fire', 'Ghost', 'Fire']",{'Astonish': 2},"{'Fire Spin': 4, 'Incinerate': 3}","{'Grass Knot': 2, 'Foul Play': 2}","{'Bone Club': 4, 'Shadow Bone*': 4, 'Crunch': 3, 'Flamethrower': 3}"
Blastoise,"['Bug', 'Steel', 'Fire']","['Dark', 'Steel']","{'Bullet Punch': 2, 'Ember': 3}","{'Fury Cutter': 3, 'Thunder Shock*': 4}","{'Night Slash': 2, 'Trailblaze': 2, 'Flame Charge': 3, 'Dig': 3}","{'Night Slash': 3, 'X-Scissor': 3, 'Drill Peck': 4, 'Thunderbolt': 4}"
Scizor,"['Psychic', 'Grass']","['Water', 'Water', 'Ground']",{'Magical Leaf*': 3},"{'Rollout': 2, 'Mud Shot': 3}","{'Seed Bomb': 3, 'Leaf Storm': 3}","{'Hydro Cannon*': 2, 'Skull Bash': 2, 'Mud Bomb': 3, 'Scald': 3}"
Clefable,"['Normal', 'Fire', 'Fighting']","['Dark', 'Normal']","{'Lick': 4, 'Ember': 3, 'Vine Whip': 4}","{'Quick Attack': 2, 'Bullet Seed': 4}","{'Body Slam*': 4, 'Power Whip': 4, 'Flame Charge': 3, 'Rock Slide': 3, 'Body Slam': 4, 'Seed Bomb': 4}","{'Crunch': 2, 'Return': 2, 'Power Whip': 4, 'Thunder': 4}"
Lickitung,"['Grass', 'Flying', 'Fire', 'Water']",['Fairy'],"{'Leafage': 3, 'Incinerate': 1}",{'Fairy Wind': 4},"{'Seed Bomb': 3, 'Energy Ball': 3, 'Sludge Bomb': 1, 'Overheat': 1}","{'Moonblast': 4, 'Swift': 4}"
Bronzong,"['Fighting', 'Ghost', 'Normal', 'Water']","['Grass', 'Fairy']","{'Counter': 3, 'Tackle': 3, 'Water Gun': 4}",{'Fairy Wind': 3},"{'Rage Fist*': 3, 'Close Combat': 3, 'Body Slam': 3, 'Bulldoze': 3, 'Aqua Jet': 4, 'Swift': 4}","{'Seed Bomb': 3, 'Moonblast': 3}"
Annihilape,"['Grass', 'Dark', 'Ice', 'Psychic']","['Steel', 'Psychic']","{'Quick Attack': 3, 'Ice Shard': 3, 'Hidden Power (Fighting)': 4}","{'Metal Sound': 3, 'Air Slash': 4, 'Double Kick': 4}","{'Leaf Blade': 3, 'Last Resort*': 3, 'Avalanche': 3, 'Foul Play': 3, 'Psyshock': 4, 'Shadow Ball': 4}","{'Psyshock': 3, 'Payback': 3, 'Grass Knot': 4, 'Hurricane': 4, 'Close Combat': 4, 'Trailblaze': 4}"
Sandslash (Alolan),"['Grass', 'Poison']","['Water', 'Ground']","{'Acid': 4, 'Rock Smash': 1}",{'Mud Shot': 3},"{'Leaf Blade': 4, 'Sludge Bomb': 4, 'Rock Slide': 1, 'Seed Bomb': 1}","{'Earth Power': 3, 'Water Pulse': 3}"
Victreebel,"['Normal', 'Ground']","['Ice', 'Steel', 'Water', 'Grass']",{'Quick Attack': 3},"{'Shadow Claw*': 4, 'Ember': 4, 'Bubble': 3}","{'Fire Punch': 3, 'Scorching Sands': 3}","{'Ice Punch': 4, 'Drill Run': 4, 'Rock Slide': 4, 'Flamethrower': 4, 'Scald': 3, 'Grass Knot': 3}"
Golisopod,['Grass'],[],{'Fury Cutter': 3},{},"{'Leaf Blade': 3, 'Superpower': 3}",{}
Lurantis,"['Bug', 'Grass', 'Dark', 'Steel', 'Fire', 'Grass']","['Bug', 'Water', 'Normal', 'Flying']","{'Bug Bite': 3, 'Tackle': 4, 'Metal Sound': 2, 'Ember': 3, 'Vine Whip': 3}","{'Fury Cutter': 3, 'Mud Slap': 4, 'Wing Attack': 2}","{'Energy Ball': 3, 'Bug Buzz': 3, 'Body Slam': 4, 'Seed Bomb': 4, 'Foul Play': 2, 'Iron Head': 2, 'Fire Punch': 3, 'Return': 3, 'Power Whip': 3, 'Crunch': 3}","{'X-Scissor': 3, 'Aqua Jet': 3, 'Mud Bomb': 4, 'Iron Head': 4, 'Sky Attack': 2, 'Night Shade': 2}"
Swampert,"['Water', 'Ground', 'Rock', 'Ground', 'Rock', 'Bug']","['Bug', 'Flying', 'Water', 'Fairy', 'Ground']","{'Mud Shot': 2, 'Rock Throw': 3, 'Struggle Bug': 3}","{'Bug Bite': 2, 'Dragon Tail': 3, 'Charm': 3, 'Sand Attack': 2}","{'Mud Bomb': 2, 'Scald': 2, 'Breaking Swipe': 3, 'Stone Edge': 3, 'Aqua Jet': 3, 'Ancient Power': 3}","{'Aerial Ace': 2, 'Ancient Power': 2, 'Surf': 3, 'Wrap': 3, 'Thunderbolt': 3, 'Draining Kiss': 3, 'Rock Tomb': 2, 'Dig': 2}"
Whiscash,"['Bug', 'Steel']","['Water', 'Ground', 'Bug', 'Poison']",{'Bullet Punch': 3},"{'Mud Shot': 2, 'Poison Sting': 3}","{'Night Slash': 3, 'Trailblaze': 3}","{'Hydro Cannon*': 2, 'Sludge': 2, 'X-Scissor': 3, 'Drill Run*': 3}"
Machamp,"['Water', 'Dark', 'Dark', 'Flying']","['Ground', 'Fire', 'Flying', 'Water']","{'Water Shuriken': 2, 'Sucker Punch': 1}","{'Mud Slap': 3, 'Incinerate': 4, 'Water Gun*': 2, 'Ice Fang': 2}","{'Hydro Cannon*': 2, 'Night Slash': 2, 'Fly': 1, 'Brave Bird': 1}","{'Bone Club': 3, 'Rock Slide': 3, 'Brave Bird': 4, 'Earthquake*': 4, 'Aqua Tail': 2, 'Icy Wind': 2, 'Avalanche': 2, 'Dragon Claw': 2}"
Greninja,"['Grass', 'Ghost', 'Ground', 'Ghost', 'Flying', 'Normal']","['Fighting', 'Normal', 'Grass']","{'Astonish': 3, 'Shadow Claw': 2, 'Air Slash': 3, 'Volt Switch': 4, 'Sand Attack': 3}","{'Karate Chop*': 2, 'Feint Attack': 2}","{'Frenzy Plant*': 3, 'Spirit Shackle': 3, 'Rock Tomb': 2, 'Shadow Ball': 2, 'Grass Knot': 3, 'Hurricane': 3, 'Stone Edge': 4, 'Rock Blast': 4, 'Wild Charge': 3, 'Crunch': 3}","{'Cross Chop': 2, 'Stone Edge*': 2, 'Drill Peck': 4, 'Foul Play': 4, 'Wild Charge': 2, 'Trailblaze': 2}"
Vespiquen,"['Dark', 'Dragon']","['Psychic', 'Dark']",{'Dragon Tail': 4},"{'Astonish': 3, 'Snarl': 1}","{'Brutal Swing': 4, 'Sludge Bomb': 4}","{'Psyshock': 3, 'Shadow Ball': 3, 'Dark Pulse': 1, 'Last Resort*': 1}"
Guzzlord,[],"['Bug', 'Flying', 'Grass', 'Steel']",{'Psywave': 4},"{'Fury Cutter': 4, 'Bullet Seed': 4}","{'Shadow Ball': 4, 'Psychic': 4}","{'X-Scissor': 4, 'Power Gem': 4, 'Power Whip': 4, 'Thunder': 4}"
Registeel,"['Fairy', 'Steel', 'WaterFlying']","['Ghost', 'Ground']","{'Fairy Wind': 2, 'Dragon Breath': 1, 'Volt Switch': 4}",{'Astonish': 3},"{'Play Rough': 2, 'Flash Cannon': 2, 'Aqua Tail*': 1, 'Crunch': 1, 'Rock Tomb': 4, 'Rock Slide': 4}","{'Scorching Sands': 3, 'Shadow Ball': 3}"
Tinkatuff,"['Ice', 'Psychic']",['Steel'],"{'Ember': 4, 'Confusion': 2}",{'Lock On': 2},"{'Flamethrower': 4, 'Low Sweep': 4, 'Ice Punch': 2, 'Triple Axel': 2}","{'Focus Blast': 2, 'Zap Cannon*': 2}"
Dewott,"['Fire', 'Psychic', 'Ice', 'Ground', 'Fighting']","['Normal', 'Flying']","{'Incinerate': 2, 'Powder Snow': 2, 'Poison Jab': 3}",{'Steel Wing': 3},"{'Psyshock': 2, 'Flame Charge': 2, 'Icicle Spear': 2, 'High Horsepower': 2, 'Body Slam': 3, 'Brick Break': 3}","{'Fly': 3, 'Drill Run': 3}"
Armarouge,"['Psychic', 'Fairy', 'Normal', 'Fairy']","['Water', 'Normal']",{'Charm': 3},"{'Fury Cutter': 2, 'Astonish': 3}","{'Triple Axel': 4, 'Shadow Ball': 4, 'Icy Wind': 3, 'Swift': 3}","{'Aqua Tail': 2, 'X-Scissor': 2, 'Swift': 3, 'Aerial Ace': 3}"
Drapion,['Normal'],['Electric'],{'Shadow Claw': 2},{'Spark': 1},"{'Swift': 2, 'Grass Knot': 2}","{'Wild Charge': 1, 'Psychic Fangs*': 1}"
Linoone,[],"['Poison', 'Dark', 'Flying', 'Ground', 'Electric', 'Grass', 'Poison']",{},"{'Poison Sting': 2, 'Air Slash': 2, 'Sand Attack': 2, 'Spark': 2, 'Vine Whip': 2}",{},"{'Crunch': 2, 'Aqua Tail': 2, 'Grass Knot': 2, 'Hurricane': 2, 'Rock Tomb*': 2, 'Dig': 2, 'Thunder': 2, 'Frenzy Plant*': 2, 'Sludge Bomb': 2}"
Tentacruel,"['Ground', 'Flying', 'Grass', 'Rock']",[],"{'Fury Cutter': 3, 'Razor Leaf': 3, 'Lock On': 2}",{},"{'Earthquake': 3, 'Aerial Ace': 3, 'Grass Knot': 3, 'Earth Power': 3, 'Stone Edge': 2, 'Focus Blast': 2}",{}
Gliscor,"['Bug', 'Electric', 'Water', 'Dark']","['Water', 'Poison', 'Fighting']","{'Poison Jab': 4, 'Volt Switch*': 3, 'Waterfall': 4}","{'Acid': 3, 'Poison Jab': 2}","{'Aqua Tail': 4, 'Shadow Ball': 4, 'X-Scissor': 3, 'Fly': 3, 'Crunch': 4, 'Poison Fang': 4}","{'Scald': 3, 'Sludge Wave': 3, 'Body Slam': 2, 'Brick Break': 2}"
